CSV_Age,Day_mth_year_cat,Pet_ageMonths,Breed,Color,Outcome_Type,Fixed,Sex
6,days,0.2,English Bulldog Mix,Tan/White,Transfer,Unknown,
5,days,0.17,American Bulldog Mix,White/Black,Transfer,Intact,Male
4,days,0.13,Chihuahua Shorthair Mix,Chocolate/Tan,Transfer,Intact,Male
3,days,0.1,Lhasa Apso Mix,White/Brown,Transfer,Intact,Male
6,days,0.2,Chihuahua Longhair Mix,Black/White,Transfer,Intact,Female
5,days,0.17,Pit Bull Mix,White/Blue,Transfer,Intact,Female
2,days,0.07,Pit Bull Mix,Blue/White,Transfer,Unknown,
2,days,0.07,Labrador Retriever Mix,Black/White,Transfer,Intact,Female
5,days,0.17,American Bulldog Mix,White/Tan,Transfer,Intact,Male
5,days,0.17,Pit Bull Mix,Fawn,Transfer,Intact,Male
2,days,0.07,German Shepherd Mix,Chocolate,Transfer,Intact,Male
5,days,0.17,Pit Bull Mix,Sable/White,Transfer,Intact,Female
5,days,0.17,Pit Bull Mix,Sable,Transfer,Intact,Male
2,days,0.07,Pit Bull Mix,Chocolate/White,Transfer,Intact,Female
3,days,0.1,Labrador Retriever Mix,Black,Transfer,Intact,Male
2,days,0.07,German Shepherd Mix,Brown,Transfer,Intact,Male
6,days,0.2,English Bulldog Mix,Blue/White,Transfer,Unknown,
5,days,0.17,Pit Bull Mix,Sable/White,Transfer,Intact,Female
6,days,0.2,Rat Terrier Mix,White,Transfer,Intact,Female
3,days,0.1,Lhasa Apso Mix,White/Brown,Transfer,Unknown,
2,days,0.07,Dachshund Mix,Tan,Transfer,Unknown,
6,days,0.2,Chihuahua Shorthair/Pit Bull,Brown,Transfer,Unknown,
6,days,0.2,Chihuahua Shorthair Mix,White/Brown,Died,Intact,Female
5,days,0.17,Pit Bull Mix,Sable/White,Transfer,Intact,Female
3,days,0.1,Lhasa Apso Mix,Brown,Died,Unknown,
6,days,0.2,Chihuahua Shorthair/Pit Bull,White/Brown,Transfer,Unknown,
2,days,0.07,Pit Bull Mix,Brown/White,Died,Intact,Male
6,days,0.2,Labrador Retriever Mix,Brown,Transfer,Unknown,
2,days,0.07,Dachshund Mix,Tan,Transfer,Unknown,
5,days,0.17,Pit Bull Mix,White/Black,Transfer,Intact,Female
2,days,0.07,Pit Bull Mix,Blue/White,Transfer,Intact,Male
2,days,0.07,American Staffordshire Terrier,White/Black,Died,Unknown,
3,days,0.1,Pit Bull Mix,Brown/White,Died,Intact,Female
2,days,0.07,Pit Bull Mix,Blue/White,Transfer,Intact,Male
2,days,0.07,German Shepherd Mix,Chocolate,Transfer,Intact,Male
2,days,0.07,Pit Bull Mix,Chocolate/White,Transfer,Intact,Female
2,days,0.07,Pit Bull Mix,Chocolate/White,Transfer,Intact,Female
5,days,0.17,Pit Bull Mix,Sable/White,Transfer,Intact,Male
2,days,0.07,Pit Bull Mix,Blue/White,Transfer,Unknown,
6,days,0.2,Chihuahua Shorthair Mix,Brown/Black,Died,Intact,Male
6,days,0.2,Rat Terrier Mix,White,Transfer,Intact,Male
2,days,0.07,Pit Bull Mix,Blue/White,Transfer,Unknown,
2,days,0.07,Pit Bull Mix,Blue/White,Transfer,Unknown,
3,days,0.1,Lhasa Apso Mix,White/Brown,Transfer,Intact,Female
2,days,0.07,Labrador Retriever Mix,Black/White,Transfer,Intact,Female
6,days,0.2,Labrador Retriever Mix,Brown,Transfer,Unknown,
2,days,0.07,Pit Bull Mix,Blue/White,Transfer,Intact,Male
6,days,0.2,Labrador Retriever Mix,White,Transfer,Unknown,
1,month,1,Labrador Retriever/German Shepherd,Sable/White,,Neutered,Male
1,month,1,Carolina Dog Mix,Sable/Brown,,Spayed,Female
1,month,1,Dachshund Mix,White/Black,,Neutered,Male
1,month,1,Miniature Poodle Mix,Black/White,,Intact,Male
1,month,1,Chihuahua Shorthair Mix,Black/Tan,,Intact,Female
1,month,1,Chihuahua Shorthair Mix,Black/Tan,,Intact,Male
1,month,1,Labrador Retriever Mix,Tan,,Neutered,Male
1,month,1,German Shepherd/Cardigan Welsh Corgi,Tricolor,,Spayed,Female
1,month,1,Pit Bull Mix,Tan/White,,Intact,Female
1,month,1,Labrador Retriever Mix,Brown Brindle,,Spayed,Female
1,month,1,Australian Cattle Dog Mix,Brown Brindle,,Spayed,Female
1,month,1,Labrador Retriever Mix,Black/White,,Neutered,Male
1,month,1,Labrador Retriever/Boxer,Tan/White,,Neutered,Male
1,month,1,German Shepherd Mix,White/Tan,,Intact,Female
1,month,1,Pit Bull Mix,Blue,,Neutered,Male
1,month,1,Rottweiler Mix,Black/Tan,,Intact,Female
1,month,1,German Shepherd/Golden Retriever,Sable,,Spayed,Female
1,month,1,Australian Cattle Dog Mix,White/Tan,,Neutered,Male
1,month,1,German Shepherd Mix,Black/Brown,,Intact,Female
1,month,1,Pit Bull Mix,Black,,Intact,Male
1,month,1,Pit Bull Mix,Black/White,,Intact,Male
1,month,1,Pointer Mix,White/Black,,Intact,Female
1,month,1,Labrador Retriever/Border Collie,White/Black,,Neutered,Male
1,month,1,Pit Bull/Australian Cattle Dog,White/Black,,Intact,Female
1,month,1,Bull Terrier Mix,Sable,,Intact,Female
1,month,1,Pit Bull Mix,Brown Brindle/White,,Spayed,Female
1,month,1,Flat Coat Retriever/Papillon,Black/Brown,,Spayed,Female
1,month,1,Boxer Mix,Black,,Unknown,
1,month,1,Chihuahua Shorthair Mix,Tan/Buff,,Intact,Male
1,month,1,Labrador Retriever Mix,Cream/White,,Spayed,Female
1,month,1,Patterdale Terr Mix,Black/White,,Spayed,Female
1,month,1,Labrador Retriever/Australian Shepherd,Black/White,,Spayed,Female
1,month,1,German Shepherd Mix,Black/Tan,,Intact,Female
1,month,1,Chihuahua Shorthair/Cairn Terrier,Black/Tan,,Neutered,Male
1,month,1,Labrador Retriever Mix,Black,,Spayed,Female
1,month,1,Pit Bull Mix,Black/White,,Intact,Female
1,month,1,Labrador Retriever Mix,Brown Brindle,,Neutered,Male
1,month,1,Treeing Walker Coonhound Mix,White/Black,,Intact,Female
1,month,1,Chinese Sharpei Mix,White/Brown Brindle,,Neutered,Male
1,month,1,Plott Hound Mix,Brown,,Neutered,Male
1,month,1,Dachshund/Chihuahua Shorthair,Black/White,,Spayed,Female
1,month,1,Pekingese Mix,White/Black,,Intact,Male
1,month,1,Dachshund Mix,Blue Merle,,Intact,Female
1,month,1,Irish Setter/Pit Bull,Black,,Intact,Male
1,month,1,Border Collie Mix,Black/White,,Neutered,Male
1,month,1,Pit Bull Mix,Brown Brindle,,Neutered,Male
1,month,1,Pit Bull Mix,Chocolate/White,,Intact,Female
1,month,1,Chihuahua Shorthair Mix,Black/White,,Intact,Female
1,month,1,Chihuahua Shorthair Mix,Red,,Neutered,Male
1,month,1,Australian Kelpie Mix,Tricolor,,Intact,Male
1,month,1,German Shepherd/Labrador Retriever,Black/White,,Spayed,Female
1,month,1,German Shepherd Mix,Black/Brown,,Spayed,Female
1,month,1,Labrador Retriever Mix,Black,,Intact,Male
1,month,1,Miniature Poodle Mix,Apricot,,Intact,Male
1,month,1,Miniature Schnauzer Mix,Gray/White,,Intact,Female
1,month,1,Labrador Retriever Mix,Buff,,Neutered,Male
1,month,1,Border Terrier Mix,Brown Brindle,,Intact,Male
1,month,1,Labrador Retriever/Blue Lacy,White/Black,,Spayed,Female
1,month,1,Labrador Retriever Mix,Black,,Spayed,Female
1,month,1,Australian Cattle Dog Mix,Tricolor,,Intact,Male
1,month,1,Shih Tzu,Chocolate/White,,Spayed,Female
1,month,1,Labrador Retriever/Boxer,White/Cream,,Neutered,Male
1,month,1,Yorkshire Terrier Mix,Sable/Red,,Spayed,Female
1,month,1,Plott Hound Mix,Brown/Black,,Intact,Male
1,month,1,Rat Terrier Mix,White,,Spayed,Female
1,month,1,Pit Bull Mix,Black/White,,Intact,Male
1,month,1,Plott Hound Mix,White/Brown,,Spayed,Female
1,month,1,Chihuahua Shorthair Mix,Black/White,,Intact,Female
1,month,1,Labrador Retriever Mix,Black,,Intact,Male
1,month,1,Boxer Mix,Black,,Unknown,
1,month,1,Pit Bull Mix,White/Chocolate,,Intact,Male
1,month,1,Golden Retriever/Cocker Spaniel,Brown/White,,Intact,Male
1,month,1,Australian Shepherd Mix,Brown/White,,Spayed,Female
1,month,1,Golden Retriever Mix,Gold,,Intact,Male
1,month,1,Yorkshire Terrier Mix,Black/Tan,,Intact,Female
1,month,1,Dachshund Wirehair/Miniature Poodle,Black/Tan,,Neutered,Male
1,month,1,Chihuahua Shorthair Mix,Tricolor,,Spayed,Female
1,month,1,Labrador Retriever Mix,Black/White,,Spayed,Female
1,month,1,German Shepherd Mix,Sable,,Spayed,Female
1,month,1,Chihuahua Shorthair Mix,Brown,,Intact,Female
1,month,1,Labrador Retriever Mix,Black/White,,Spayed,Female
1,month,1,Pit Bull Mix,Brown/White,,Intact,Female
1,month,1,German Shepherd Mix,Black/Tan,,Intact,Male
1,month,1,Bull Terrier Mix,Sable/White,,Intact,Female
1,month,1,Australian Cattle Dog Mix,White/Brown Brindle,,Neutered,Male
1,month,1,Australian Cattle Dog Mix,White/Tan,,Neutered,Male
1,month,1,Australian Cattle Dog Mix,Sable,,Intact,Female
1,month,1,Labrador Retriever/Blue Lacy,Brown Brindle,,Spayed,Female
1,month,1,Beagle/German Shepherd,Black/Brown,,Neutered,Male
1,month,1,Australian Cattle Dog Mix,Black/White,,Spayed,Female
1,month,1,Manchester Terrier Mix,Brown/White,,Intact,Female
1,month,1,Pit Bull Mix,Brown Brindle/White,,Intact,Male
1,month,1,Australian Shepherd Mix,Black/Tan,,Intact,Male
1,month,1,Pit Bull Mix,Brown/White,,Intact,Female
1,month,1,Great Pyrenees Mix,White/Buff,,Intact,Female
1,month,1,Pit Bull Mix,Black/White,,Intact,Female
1,month,1,Chihuahua Shorthair Mix,Black/Brown,,Intact,Female
1,month,1,Australian Cattle Dog Mix,Tricolor,,Neutered,Male
1,month,1,Chinese Sharpei Mix,Brown Brindle/White,,Neutered,Male
1,month,1,Labrador Retriever Mix,Brown/White,,Spayed,Female
1,month,1,Shih Tzu Mix,White/Chocolate,,Intact,Male
1,month,1,Chihuahua Shorthair Mix,White/Chocolate,,Intact,Male
1,month,1,Labrador Retriever/Blue Lacy,Blue/White,,Neutered,Male
1,month,1,Labrador Retriever Mix,Brown/White,,Spayed,Female
1,month,1,Yorkshire Terrier Mix,Black/Brown,,Intact,Male
1,month,1,Labrador Retriever Mix,Black/White,,Intact,Female
1,month,1,Pit Bull Mix,Brown Brindle,,Intact,Male
1,month,1,Chihuahua Shorthair Mix,Chocolate/Tan,,Neutered,Male
1,month,1,Labrador Retriever/Blue Lacy,Tan/White,,Neutered,Male
1,month,1,Pit Bull Mix,Black,,Intact,Male
1,month,1,Chihuahua Shorthair Mix,Black,,Intact,Male
1,month,1,Australian Shepherd Mix,Tricolor,,Intact,Male
1,month,1,Whippet/Dachshund,Tricolor,,Spayed,Female
1,month,1,Labrador Retriever/German Shepherd,Black,,Spayed,Female
1,month,1,Chihuahua Shorthair Mix,Tricolor,,Intact,Male
1,month,1,German Shepherd/Boxer,Brown/Black,,Intact,Male
1,month,1,Labrador Retriever/Pit Bull,Black/White,,Spayed,Female
1,month,1,Jack Russell Terrier/Labrador Retriever,Chocolate,,Intact,Male
1,month,1,German Shepherd Mix,Black/Brown,,Spayed,Female
1,month,1,Australian Shepherd Mix,White/Tan,,Spayed,Female
1,month,1,Australian Kelpie Mix,Tricolor,,Intact,Female
1,month,1,Golden Retriever Mix,Brown,,Neutered,Male
1,month,1,Labrador Retriever/Australian Shepherd,Tricolor,,Neutered,Male
1,month,1,Pit Bull Mix,Black,,Intact,Female
1,month,1,Pit Bull Mix,Black,,Intact,Female
1,month,1,German Shepherd/Labrador Retriever,Brown/Black,,Intact,Male
1,month,1,Australian Shepherd/Anatol Shepherd,Blue Merle,,Intact,Female
1,month,1,Anatol Shepherd Mix,Sable/Black,,Spayed,Female
1,month,1,Jack Russell Terrier/Beagle,White/Brown,,Spayed,Female
1,month,1,Pit Bull Mix,Blue/White,,Neutered,Male
1,month,1,Boxer Mix,Black,,Unknown,
1,month,1,Cardigan Welsh Corgi Mix,Brown Brindle/White,,Spayed,Female
1,month,1,Miniature Poodle Mix,Black/White,,Spayed,Female
1,month,1,Chihuahua Shorthair Mix,Brown/White,,Intact,Female
1,month,1,German Shepherd Mix,Sable,,Spayed,Female
1,month,1,Australian Cattle Dog Mix,Sable/White,,Intact,Female
1,month,1,Catahoula Mix,Red,,Neutered,Male
1,month,1,Pit Bull Mix,Black,,Intact,Female
1,month,1,Maltese/Miniature Poodle,White/Buff,,Spayed,Female
1,month,1,Pit Bull Mix,Black,,Intact,Male
1,month,1,Australian Cattle Dog Mix,Red Tick/Brown,,Spayed,Female
1,month,1,Labrador Retriever Mix,Brown,,Intact,Female
1,month,1,German Shepherd Mix,Tan,,Intact,Male
1,month,1,German Shepherd Mix,Black/Tan,,Intact,Female
1,month,1,Irish Setter/Pit Bull,Black,,Intact,Male
1,month,1,Golden Retriever Mix,Gold,,Intact,Male
1,month,1,Jack Russell Terrier Mix,White/Brown,,Intact,Female
1,month,1,Australian Cattle Dog Mix,Blue Merle,,Spayed,Female
1,month,1,Chihuahua Shorthair Mix,Buff/White,,Neutered,Male
1,month,1,Border Collie/Labrador Retriever,Black/White,,Intact,Male
1,month,1,Border Collie Mix,White/Brown Brindle,,Spayed,Female
1,month,1,Flat Coat Retriever/Pit Bull,Buff,,Intact,Female
1,month,1,Pit Bull Mix,Brown/White,,Intact,Male
1,month,1,Labrador Retriever Mix,Black,,Intact,Female
1,month,1,German Shepherd/Mastiff,Tan/Black,,Neutered,Male
1,month,1,Labrador Retriever/Australian Shepherd,Black,,Spayed,Female
1,month,1,Australian Cattle Dog Mix,Tricolor,,Spayed,Female
1,month,1,Australian Kelpie Mix,Sable/White,,Intact,Male
1,month,1,German Shepherd Mix,Black/Brown,,Neutered,Male
1,month,1,Miniature Poodle Mix,Black/White,,Intact,Male
1,month,1,Chihuahua Shorthair Mix,Buff,,Intact,Male
1,month,1,Australian Cattle Dog Mix,White/Black,,Spayed,Female
1,month,1,Pointer Mix,White/Black,,Intact,Male
1,month,1,Jack Russell Terrier Mix,Black/Tan,,Intact,Female
1,month,1,Chihuahua Shorthair Mix,White,,Intact,Female
1,month,1,Rottweiler Mix,Brown/Tan,,Intact,Female
1,month,1,German Shepherd Mix,Black/Brown Brindle,,Neutered,Male
1,month,1,Labrador Retriever/Boxer,White/Cream,,Neutered,Male
1,month,1,Chihuahua Shorthair Mix,Brown,,Spayed,Female
1,month,1,Beagle/German Shepherd,Tricolor,,Spayed,Female
1,month,1,German Shepherd/Labrador Retriever,Black/White,,Spayed,Female
1,month,1,Pit Bull Mix,White/Blue,,Intact,Male
1,month,1,Border Collie Mix,Black/White,,Unknown,
1,month,1,Labrador Retriever Mix,Tan/White,,Spayed,Female
1,month,1,Labrador Retriever Mix,Brown/White,,Neutered,Male
1,month,1,Australian Kelpie Mix,Tricolor,,Intact,Female
1,month,1,Australian Kelpie Mix,Tricolor,,Intact,Male
1,month,1,Miniature Poodle Mix,Cream/White,,Intact,Female
1,month,1,Anatol Shepherd Mix,Brown/White,,Spayed,Female
1,month,1,Catahoula Mix,Blue Merle,,Intact,Male
1,month,1,Labrador Retriever/German Shepherd,Brown,,Spayed,Female
1,month,1,Cairn Terrier Mix,Tricolor,,Neutered,Male
1,month,1,Labrador Retriever Mix,Sable/White,,Spayed,Female
1,month,1,German Shepherd Mix,Brown/Black,,Intact,Male
1,month,1,Labrador Retriever/Australian Shepherd,Black/White,,Spayed,Female
1,month,1,Jack Russell Terrier/Labrador Retriever,Buff,,Intact,Female
1,month,1,Australian Cattle Dog Mix,Blue Merle,,Intact,Male
1,month,1,Chihuahua Shorthair Mix,Buff,,Intact,Female
1,month,1,Labrador Retriever Mix,Black/White,,Spayed,Female
1,month,1,Labrador Retriever Mix,Brown/Black,,Neutered,Male
1,month,1,Pit Bull Mix,Brown/White,,Intact,Male
1,month,1,Plott Hound Mix,Brown/Black,,Intact,Female
1,month,1,German Shepherd Mix,Brown,,Intact,Female
1,month,1,Labrador Retriever Mix,Sable,,Neutered,Male
1,month,1,Cairn Terrier/Chihuahua Shorthair,Black/Tan,Transfer,Intact,Female
1,month,1,Miniature Pinscher/Chihuahua Shorthair,Tricolor,Adoption,Spayed,Female
1,month,1,Plott Hound/Labrador Retriever,Black/Brown Brindle,Adoption,Spayed,Female
1,month,1,Beagle/German Shepherd,Black/Brown,Adoption,Neutered,Male
1,month,1,Labrador Retriever/Blue Lacy,Chocolate/White,Adoption,Neutered,Male
1,month,1,Australian Cattle Dog Mix,Brown/Black,Transfer,Intact,Male
1,month,1,Chihuahua Shorthair Mix,Brown/Black,Adoption,Neutered,Male
1,month,1,Australian Kelpie Mix,Black,Transfer,Intact,Female
1,month,1,German Shepherd Mix,Red,Transfer,Intact,Female
1,month,1,Miniature Poodle Mix,Black/White,Transfer,Intact,Female
1,month,1,Dachshund Mix,Tricolor,Euthanasia,Intact,Male
1,month,1,Dachshund Wirehair/Miniature Poodle,Black/Tan,Adoption,Neutered,Male
1,month,1,Chihuahua Shorthair Mix,Brown,Transfer,Intact,Female
1,month,1,Pit Bull Mix,White/Black,Transfer,Intact,Female
1,month,1,Miniature Pinscher/Chihuahua Shorthair,Chocolate/Tan,Adoption,Neutered,Male
1,month,1,Beagle/Pug,White/Brown,Adoption,Neutered,Male
1,month,1,Shih Tzu,Brown/White,Adoption,Spayed,Female
1,month,1,Labrador Retriever/Blue Lacy,Tricolor,Adoption,Spayed,Female
1,month,1,Chihuahua Shorthair Mix,Brown/Black,Transfer,Intact,Male
1,month,1,Chihuahua Shorthair Mix,Brown Brindle/Black,Transfer,Intact,Male
1,month,1,Rat Terrier Mix,Tricolor,Adoption,Spayed,Female
1,month,1,Labrador Retriever/Boxer,Tan/White,Adoption,Neutered,Male
1,month,1,Labrador Retriever Mix,Black/White,Adoption,Spayed,Female
1,month,1,Plott Hound Mix,Black/Brown Brindle,Transfer,Intact,Female
1,month,1,Chihuahua Shorthair/Pomeranian,Brown Brindle,Adoption,Intact,Female
1,month,1,Cardigan Welsh Corgi Mix,White/Brown Brindle,Adoption,Neutered,Male
1,month,1,Jack Russell Terrier Mix,Chocolate/White,Adoption,Spayed,Female
1,month,1,Dachshund Mix,Black/Brown,Return_to_owner,Neutered,Male
1,month,1,Chihuahua Shorthair Mix,Brown Brindle/White,Transfer,Intact,Male
1,month,1,Labrador Retriever/Australian Shepherd,Black/White,Adoption,Spayed,Female
1,month,1,German Shepherd Mix,Black/Brown,Adoption,Spayed,Female
1,month,1,Golden Retriever Mix,Brown,Adoption,Spayed,Female
1,month,1,Australian Kelpie Mix,Black,Transfer,Intact,Male
1,month,1,German Shepherd Mix,Sable,Transfer,Intact,Male
1,month,1,Pit Bull Mix,White/Blue,Euthanasia,Intact,Male
1,month,1,Border Collie Mix,White/Black Brindle,Adoption,Neutered,Male
1,month,1,Pit Bull Mix,White/Brown Brindle,Transfer,Intact,Male
1,month,1,Flat Coat Retriever/Pit Bull,Blue/White,Transfer,Intact,Female
1,month,1,German Shepherd Mix,Tan,Transfer,Intact,Male
1,month,1,German Shepherd Mix,Black/Brown,Transfer,Neutered,Male
1,month,1,Pit Bull Mix,Black/White,Transfer,Intact,Female
1,month,1,Chihuahua Shorthair Mix,Black,Adoption,Neutered,Male
1,month,1,Chihuahua Shorthair/Yorkshire Terrier,Brown/Black,Transfer,Intact,Male
1,month,1,Pit Bull Mix,Red,Transfer,Intact,Female
1,month,1,German Shepherd Mix,Brown/Black,Transfer,Intact,Female
1,month,1,Golden Retriever Mix,Brown,Adoption,Neutered,Male
1,month,1,Plott Hound Mix,Black/Brown Brindle,Transfer,Intact,Female
1,month,1,Plott Hound Mix,Brown/Black,Transfer,Intact,Male
1,month,1,Australian Cattle Dog Mix,Tricolor,Adoption,Spayed,Female
1,month,1,Plott Hound Mix,Red,Transfer,Intact,Female
1,month,1,Border Collie Mix,Tricolor,Adoption,Neutered,Male
1,month,1,Chihuahua Shorthair Mix,Black/Brown,Euthanasia,Intact,Male
1,month,1,Labrador Retriever Mix,Cream/White,Adoption,Spayed,Female
1,month,1,Chihuahua Shorthair Mix,Tricolor,Transfer,Intact,Female
1,month,1,Chihuahua Shorthair/Cairn Terrier,White,Adoption,Spayed,Female
1,month,1,Dachshund Mix,Brown/White,Transfer,Intact,Female
1,month,1,Labrador Retriever Mix,Black/White,Adoption,Spayed,Female
1,month,1,Border Collie/Labrador Retriever,Black/White,Transfer,Intact,Male
1,month,1,Boxer Mix,Brown Brindle/White,Transfer,Intact,Female
1,month,1,German Shepherd Mix,Tricolor,Transfer,Intact,Male
1,month,1,Boxer Mix,Black,Transfer,Unknown,
1,month,1,Pit Bull Mix,Black/White,Adoption,Neutered,Male
1,month,1,Australian Shepherd Mix,Brown/Black,Adoption,Spayed,Female
1,month,1,Labrador Retriever/Plott Hound,Black,Transfer,Intact,Male
1,month,1,Labrador Retriever Mix,Black/Tricolor,Transfer,Intact,Male
1,month,1,Catahoula Mix,Tan/White,Transfer,Intact,Female
1,month,1,Cairn Terrier Mix,Tricolor,Adoption,Spayed,Female
1,month,1,Labrador Retriever Mix,Cream/White,Adoption,Neutered,Male
1,month,1,German Shepherd/Pit Bull,Brown,Adoption,Spayed,Female
1,month,1,Chihuahua Shorthair Mix,Tricolor,Transfer,Intact,Male
1,month,1,Chihuahua Shorthair/Dachshund Wirehair,Black/White,Adoption,Spayed,Female
1,month,1,Plott Hound Mix,Black/Brown Brindle,Transfer,Intact,Female
1,month,1,Boxer Mix,Sable/White,Adoption,Neutered,Male
1,month,1,English Pointer Mix,Chocolate/White,Adoption,Neutered,Male
1,month,1,English Pointer Mix,White/Chocolate,Adoption,Neutered,Male
1,month,1,Labrador Retriever Mix,Black/White,Adoption,Spayed,Female
1,month,1,Labrador Retriever/Blue Lacy,Black/White,Adoption,Neutered,Male
1,month,1,Pekingese/Miniature Poodle,Tricolor,Transfer,Intact,Male
1,month,1,German Shepherd/Mastiff,Tan,Adoption,Spayed,Female
1,month,1,Australian Cattle Dog Mix,White/Black,Adoption,Spayed,Female
1,month,1,Labrador Retriever Mix,Yellow,Transfer,Intact,Female
1,month,1,German Shepherd/Cardigan Welsh Corgi,Tricolor,Transfer,Intact,Male
1,month,1,Pit Bull Mix,Brown Brindle,Transfer,Intact,Male
1,month,1,Australian Shepherd Mix,Black/Tricolor,Transfer,Intact,Male
1,month,1,Chihuahua Shorthair Mix,Brown/White,Transfer,Intact,Female
1,month,1,Shih Tzu/Miniature Poodle,Black,Transfer,Intact,Male
