Pet_ageMonths,Breed_primary,Breed_secondary,Color,Outcome_Type,Outcome_Rating,Fixed,Sex
24,Yorkshire Terrier Mix,,Tan/Blue,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Blue/Tan,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male
48,Yorkshire Terrier Mix,,White/Gray,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Neutered,Male
72,Yorkshire Terrier Mix,,Blue/Tan,Adoption,Positive,Neutered,Male
72,Yorkshire Terrier Mix,,Silver/Tan,Adoption,Positive,Neutered,Male
144,Yorkshire Terrier Mix,,Blue/Tan,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Silver/Tan,Adoption,Positive,Neutered,Male
120,Yorkshire Terrier Mix,,Brown,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Neutered,Male
84,Yorkshire Terrier Mix,,White/Gray,Adoption,Positive,Neutered,Male
36,Yorkshire Terrier Mix,,White/Tan,Adoption,Positive,Neutered,Male
36,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Silver/Tan,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Black,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier Mix,,Brown/Black,Adoption,Positive,Neutered,Male
72,Yorkshire Terrier Mix,,Red/Silver,Adoption,Positive,Neutered,Male
1,Yorkshire Terrier Mix,,Cream,Adoption,Positive,Spayed,Female
9,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Spayed,Female
6,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Spayed,Female
9,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Spayed,Female
12,Yorkshire Terrier Mix,,Gray/Tan,Adoption,Positive,Spayed,Female
12,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Spayed,Female
12,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Spayed,Female
36,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Spayed,Female
36,Yorkshire Terrier Mix,,Blue/Tan,Adoption,Positive,Spayed,Female
24,Yorkshire Terrier Mix,,Brown/Black,Adoption,Positive,Spayed,Female
36,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Spayed,Female
24,Yorkshire Terrier Mix,,Gray,Adoption,Positive,Spayed,Female
48,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Spayed,Female
24,Yorkshire Terrier Mix,,Brown/Black,Adoption,Positive,Spayed,Female
24,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Spayed,Female
24,Yorkshire Terrier Mix,,Tan/Silver,Adoption,Positive,Spayed,Female
48,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Spayed,Female
36,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Spayed,Female
96,Yorkshire Terrier,,Red/Black,Adoption,Positive,Neutered,Male
96,Yorkshire Terrier,,Gray/Brown,Adoption,Positive,Neutered,Male
120,Yorkshire Terrier,,Tan/Gray,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier,,Brown/Black,Adoption,Positive,Neutered,Male
60,Yorkshire Terrier,,Tan/Gray,Adoption,Positive,Spayed,Female
60,Yorkshire Terrier,,Tan/Gray,Adoption,Positive,Spayed,Female
120,Yorkshire Terrier,,Tan/Gray,Adoption,Positive,Spayed,Female
2,Wire Hair Fox Terrier,Chihuahua Shorthair,Tan/White,Adoption,Positive,Neutered,Male
2,Wire Hair Fox Terrier,Chihuahua Shorthair,Cream/White,Adoption,Positive,Neutered,Male
4,Wire Hair Fox Terrier,Chihuahua Shorthair,Cream/White,Adoption,Positive,Spayed,Female
2,Wire Hair Fox Terrier,Beagle,Blue/Cream,Adoption,Positive,Neutered,Male
2,Wire Hair Fox Terrier,Beagle,Tan,Adoption,Positive,Neutered,Male
5,Wire Hair Fox Terrier Mix,,White/Tan,Adoption,Positive,Intact,Male
3,Wire Hair Fox Terrier Mix,,Brown/Black,Adoption,Positive,Intact,Female
24,Wire Hair Fox Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male
2,Wire Hair Fox Terrier Mix,,White/Brown,Adoption,Positive,Spayed,Female
3,Wire Hair Fox Terrier Mix,,White/White,Adoption,Positive,Spayed,Female
7,Wire Hair Fox Terrier Mix,,Tricolor,Adoption,Positive,Spayed,Female
36,Whippet,Shetland Sheepdog,Tricolor,Adoption,Positive,Spayed,Female
12,Whippet,Labrador Retriever,Brown Brindle/White,Adoption,Positive,Spayed,Female
12,Whippet,Jack Russell Terrier,White/Brown,Adoption,Positive,Spayed,Female
24,Whippet,Chihuahua Shorthair,White/Brown,Adoption,Positive,Neutered,Male
12,Whippet,Borzoi,Tricolor/Black,Adoption,Positive,Spayed,Female
7,Whippet,Beagle,Red/White,Adoption,Positive,Neutered,Male
5,Whippet,Australian Kelpie,Brown Brindle/White,Adoption,Positive,Spayed,Female
4,Whippet Mix,,White/Tan,Adoption,Positive,Neutered,Male
6,Whippet Mix,,Tan,Adoption,Positive,Neutered,Male
12,Whippet Mix,,Brown/White,Adoption,Positive,Neutered,Male
12,Whippet Mix,,White/Tan,Adoption,Positive,Neutered,Male
24,Whippet Mix,,Brown/White,Adoption,Positive,Neutered,Male
36,Whippet Mix,,Fawn,Adoption,Positive,Neutered,Male
9,Whippet Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female
8,Whippet Mix,,Chocolate/White,Adoption,Positive,Spayed,Female
12,Whippet Mix,,Brown Brindle,Adoption,Positive,Spayed,Female
24,Whippet Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female
24,Whippet Mix,,White/Black,Adoption,Positive,Spayed,Female
12,West Highland Mix,,White,Adoption,Positive,Neutered,Male
24,West Highland Mix,,White/Black,Adoption,Positive,Neutered,Male
36,West Highland Mix,,White/Tan,Adoption,Positive,Spayed,Female
24,West Highland,,White,Adoption,Positive,Neutered,Male
12,West Highland,,White,Adoption,Positive,Spayed,Female
10,Welsh Terrier Mix,,Black/Brown,Adoption,Positive,Neutered,Male
12,Welsh Terrier Mix,,Black/Brown,Adoption,Positive,Neutered,Male
24,Welsh Terrier Mix,,Tricolor,Adoption,Positive,Neutered,Male
24,Welsh Springer Spaniel,,White/Chocolate,Adoption,Positive,Spayed,Female
2,Weimaraner,Pit Bull,Fawn/White,Adoption,Positive,Neutered,Male
9,Weimaraner Mix,,Blue,Adoption,Positive,Spayed,Female
36,Weimaraner,,Silver,Adoption,Positive,Spayed,Female
60,Vizsla,Staffordshire,Red/White,Adoption,Positive,Spayed,Female
6,Vizsla,Golden Retriever,Red/Black,Adoption,Positive,Spayed,Female
6,Vizsla,Golden Retriever,Red/White,Adoption,Positive,Spayed,Female
36,Vizsla,Catahoula,Red/Tan,Adoption,Positive,Spayed,Female
36,Vizsla,Boxer,Brown,Adoption,Positive,Neutered,Male
2,Vizsla Mix,,Brown,Adoption,Positive,Neutered,Male
12,Vizsla Mix,,Red,Adoption,Positive,Neutered,Male
3,Vizsla Mix,,Red/White,Adoption,Positive,Spayed,Female
2,Vizsla Mix,,Red/White,Adoption,Positive,Spayed,Female
12,Vizsla Mix,,Red/White,Adoption,Positive,Spayed,Female
24,Vizsla Mix,,Brown/White,Adoption,Positive,Spayed,Female
10,Vizsla,,Red,Adoption,Positive,Neutered,Male
120,Vizsla,,Red,Adoption,Positive,Neutered,Male
2,Treeing Walker Coonhound Mix,,Brown/White,Adoption,Positive,Neutered,Male
12,Treeing Walker Coonhound Mix,,Blue Tick,Adoption,Positive,Spayed,Female
9,Treeing Tennesse Brindle,,Brown Brindle/White,Adoption,Positive,Spayed,Female
12,Treeing Cur Mix,,Brown Brindle/White,Adoption,Positive,Neutered,Male
36,Toy Poodle,Yorkshire Terrier,Tricolor,Adoption,Positive,Neutered,Male
180,Toy Poodle Mix,,Black,Adoption,Positive,Intact,Male
24,Toy Poodle Mix,,White,Adoption,Positive,Neutered,Male
24,Toy Poodle Mix,,Buff,Adoption,Positive,Neutered,Male
36,Toy Poodle Mix,,Black,Adoption,Positive,Neutered,Male
36,Toy Poodle Mix,,Apricot,Adoption,Positive,Neutered,Male
72,Toy Poodle Mix,,Apricot,Adoption,Positive,Neutered,Male
48,Toy Poodle Mix,,White,Adoption,Positive,Neutered,Male
48,Toy Poodle Mix,,White/Cream,Adoption,Positive,Neutered,Male
48,Toy Poodle Mix,,Black/Gray,Adoption,Positive,Neutered,Male
36,Toy Poodle Mix,,White,Adoption,Positive,Neutered,Male
12,Toy Poodle Mix,,White,Adoption,Positive,Spayed,Female
120,Toy Poodle Mix,,Gray,Adoption,Positive,Spayed,Female
60,Toy Poodle,,White,Adoption,Positive,Neutered,Male
60,Toy Poodle,,White,Adoption,Positive,Neutered,Male
72,Toy Poodle,,Black,Adoption,Positive,Spayed,Female
96,Toy Poodle,,White,Adoption,Positive,Spayed,Female
60,Toy Poodle,,Apricot,Adoption,Positive,Spayed,Female
24,Toy Poodle,,White,Adoption,Positive,Spayed,Female
4,Toy Fox Terrier,Dachshund,Red/White,Adoption,Positive,Spayed,Female
3,Toy Fox Terrier Mix,,Brown/White,Adoption,Positive,Neutered,Male
60,Toy Fox Terrier Mix,,Tricolor,Adoption,Positive,Neutered,Male
3,Toy Fox Terrier Mix,,White/Tricolor,Adoption,Positive,Spayed,Female
10,Tibetan Terrier,Lhasa Apso,Black/White,Adoption,Positive,Neutered,Male
12,Tibetan Terrier Mix,,Black/White,Adoption,Positive,Neutered,Male
48,Tibetan Terrier Mix,,Black/White,Adoption,Positive,Neutered,Male
36,Tibetan Terrier Mix,,Gray,Adoption,Positive,Spayed,Female
10,Tibetan Spaniel Mix,,Black/Tan,Adoption,Positive,Neutered,Male
24,Swedish Vallhund,Miniature Poodle,Tricolor,Adoption,Positive,Neutered,Male
12,Swedish Vallhund Mix,,Tan/Black,Adoption,Positive,Neutered,Male
72,Swedish Vallhund Mix,,Sable,Adoption,Positive,Neutered,Male
36,Swedish Vallhund Mix,,Sable,Adoption,Positive,Neutered,Male
60,Swedish Vallhund Mix,,Sable,Adoption,Positive,Neutered,Male
12,Swedish Vallhund Mix,,Sable,Adoption,Positive,Spayed,Female
60,Standard Schnauzer Mix,,Blue/Tan,Adoption,Positive,Neutered,Male
12,Standard Schnauzer Mix,,Blue,Adoption,Positive,Spayed,Female
36,Standard Schnauzer Mix,,Cream,Adoption,Positive,Spayed,Female
24,Standard Schnauzer Mix,,Black,Adoption,Positive,Spayed,Female
8,Standard Schnauzer,,Black,Adoption,Positive,Spayed,Female
36,Standard Poodle,Whippet,White,Adoption,Positive,Spayed,Female
12,Standard Poodle,Labrador Retriever,Black,Adoption,Positive,Spayed,Female
12,Standard Poodle Mix,,White,Adoption,Positive,Intact,Male
2,Standard Poodle Mix,,Black/Gray,Adoption,Positive,Neutered,Male
2,Standard Poodle Mix,,Black/White,Adoption,Positive,Neutered,Male
3,Standard Poodle Mix,,White,Adoption,Positive,Spayed,Female
24,Standard Poodle,,Black,Adoption,Positive,Intact,Male
72,Standard Poodle,,Chocolate,Adoption,Positive,Spayed,Female
12,Staffordshire,French Bulldog,Fawn/White,Adoption,Positive,Spayed,Female
36,Staffordshire,English Bulldog,Brown Brindle,Adoption,Positive,Spayed,Female
12,Staffordshire,Boxer,White,Adoption,Positive,Neutered,Male
60,Staffordshire,Boston Terrier,Brown/White,Adoption,Positive,Neutered,Male
24,Staffordshire,Blue Lacy,Blue/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,White/Tan,Adoption,Positive,Neutered,Male
12,Staffordshire Mix,,Brown Brindle,Adoption,Positive,Neutered,Male
12,Staffordshire Mix,,White/Brown,Adoption,Positive,Neutered,Male
12,Staffordshire Mix,,Brown Brindle/White,Adoption,Positive,Neutered,Male
12,Staffordshire Mix,,Tan/White,Adoption,Positive,Neutered,Male
12,Staffordshire Mix,,Brown Brindle/White,Adoption,Positive,Neutered,Male
12,Staffordshire Mix,,Black/White,Adoption,Positive,Neutered,Male
24,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male
36,Staffordshire Mix,,White/Chocolate,Adoption,Positive,Neutered,Male
24,Staffordshire Mix,,White/Black,Adoption,Positive,Neutered,Male
24,Staffordshire Mix,,Chocolate/White,Adoption,Positive,Neutered,Male
96,Staffordshire Mix,,Tan/White,Adoption,Positive,Neutered,Male
24,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male
24,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male
24,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male
72,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male
6,Staffordshire Mix,,Brown/White,Adoption,Positive,Spayed,Female
9,Staffordshire Mix,,Yellow Brindle/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Brown/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,White/Tan,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Brown,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Tan,Adoption,Positive,Spayed,Female
12,Staffordshire Mix,,Brown/White,Adoption,Positive,Spayed,Female
36,Staffordshire Mix,,Blue,Adoption,Positive,Spayed,Female
36,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Staffordshire Mix,,Black,Adoption,Positive,Spayed,Female
24,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Staffordshire Mix,,Black Brindle/White,Adoption,Positive,Spayed,Female
36,Staffordshire Mix,,Brown Brindle,Adoption,Positive,Spayed,Female
36,Staffordshire Mix,,White/Black,Adoption,Positive,Spayed,Female
84,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Staffordshire Mix,,Brown/Black,Adoption,Positive,Spayed,Female
24,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female
36,Staffordshire Mix,,Chocolate/White,Adoption,Positive,Spayed,Female
24,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Staffordshire Mix,,Brown/White,Adoption,Positive,Spayed,Female
72,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female
36,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female
36,Staffordshire,,Red/White,Adoption,Positive,Neutered,Male
36,Staffordshire,,Fawn/White,Adoption,Positive,Spayed,Female
24,Staffordshire,,Brown Brindle,Adoption,Positive,Spayed,Female
48,Staffordshire,,White/Tan,Adoption,Positive,Spayed,Female
24,Staffordshire,,Black/White,Adoption,Positive,Spayed,Female
12,St. Bernard Smooth Coat,Anatol Shepherd,White/Brown Brindle,Adoption,Positive,Neutered,Male
2,St. Bernard Smooth Coat Mix,,Tricolor,Adoption,Positive,Spayed,Female
12,St. Bernard Rough Coat,Standard Schnauzer,Gray/White,Adoption,Positive,Neutered,Male
36,St. Bernard Rough Coat Mix,,Tricolor,Adoption,Positive,Neutered,Male
120,Soft Coated Wheaten Terrier,Standard Poodle,Black/White,Adoption,Positive,Spayed,Female
9,Soft Coated Wheaten Terrier,Labrador Retriever,Sable/Tan,Adoption,Positive,Spayed,Female
2,Soft Coated Wheaten Terrier Mix,,Buff/Tan,Adoption,Positive,Intact,Female
3,Soft Coated Wheaten Terrier Mix,,Tan,Adoption,Positive,Neutered,Male
10,Soft Coated Wheaten Terrier Mix,,Cream,Adoption,Positive,Neutered,Male
8,Soft Coated Wheaten Terrier Mix,,Brown,Adoption,Positive,Neutered,Male
3,Soft Coated Wheaten Terrier Mix,,Buff,Adoption,Positive,Neutered,Male
12,Soft Coated Wheaten Terrier Mix,,Cream/Black,Adoption,Positive,Neutered,Male
12,Soft Coated Wheaten Terrier Mix,,White,Adoption,Positive,Neutered,Male
24,Soft Coated Wheaten Terrier Mix,,White,Adoption,Positive,Neutered,Male
60,Soft Coated Wheaten Terrier Mix,,Cream,Adoption,Positive,Neutered,Male
10,Soft Coated Wheaten Terrier Mix,,Tan/Black,Adoption,Positive,Spayed,Female
2,Soft Coated Wheaten Terrier Mix,,Buff,Adoption,Positive,Spayed,Female
2,Soft Coated Wheaten Terrier Mix,,Tan,Adoption,Positive,Spayed,Female
12,Soft Coated Wheaten Terrier Mix,,White/Black,Adoption,Positive,Spayed,Female
12,Soft Coated Wheaten Terrier Mix,,White/Buff,Adoption,Positive,Spayed,Female
24,Soft Coated Wheaten Terrier Mix,,Buff/White,Adoption,Positive,Spayed,Female
24,Soft Coated Wheaten Terrier Mix,,Buff,Adoption,Positive,Spayed,Female
7,Smooth Fox Terrier Mix,,White/Brown,Adoption,Positive,Neutered,Male
2,Smooth Fox Terrier Mix,,White/Tan,Adoption,Positive,Neutered,Male
3,Smooth Fox Terrier Mix,,White/Tan,Adoption,Positive,Neutered,Male
96,Smooth Fox Terrier Mix,,Tricolor,Adoption,Positive,Neutered,Male
48,Smooth Fox Terrier Mix,,White/Brown,Adoption,Positive,Neutered,Male
6,Smooth Fox Terrier Mix,,Tan,Adoption,Positive,Spayed,Female
72,Smooth Fox Terrier Mix,,Brown/White,Adoption,Positive,Spayed,Female
84,Smooth Fox Terrier Mix,,Tricolor,Adoption,Positive,Spayed,Female
12,Skye Terrier,Miniature Poodle,White,Adoption,Positive,Neutered,Male
24,Silky Terrier Mix,,Brown/Gray,Adoption,Positive,Neutered,Male
48,Silky Terrier Mix,,Silver/Tan,Adoption,Positive,Spayed,Female
8,Siberian Husky,Labrador Retriever,Sable,Adoption,Positive,Neutered,Male
5,Siberian Husky,Labrador Retriever,White/Brown,Adoption,Positive,Neutered,Male
12,Siberian Husky,Labrador Retriever,Black/White,Adoption,Positive,Neutered,Male
12,Siberian Husky,Labrador Retriever,Black/Brown Brindle,Adoption,Positive,Neutered,Male
11,Siberian Husky,German Shepherd,Buff,Adoption,Positive,Neutered,Male
2,Siberian Husky,German Shepherd,Black/Tricolor,Adoption,Positive,Neutered,Male
12,Siberian Husky,German Shepherd,Red/White,Adoption,Positive,Neutered,Male
24,Siberian Husky,German Shepherd,Brown,Adoption,Positive,Neutered,Male
72,Siberian Husky,German Shepherd,Sable/White,Adoption,Positive,Neutered,Male
7,Siberian Husky,Catahoula,Brown Brindle,Adoption,Positive,Spayed,Female
24,Siberian Husky,Australian Shepherd,White/Brown,Adoption,Positive,Spayed,Female
36,Siberian Husky,Australian Cattle Dog,Tricolor,Adoption,Positive,Spayed,Female
10,Siberian Husky Mix,,White/Cream,Adoption,Positive,Neutered,Male
8,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male
10,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male
4,Siberian Husky Mix,,Gray/White,Adoption,Positive,Neutered,Male
10,Siberian Husky Mix,,Brown/Cream,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,Chocolate/Tan,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,Gray/Brown,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,White/Black,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,Black/Tan,Adoption,Positive,Neutered,Male
12,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male
24,Siberian Husky Mix,,Gray/White,Adoption,Positive,Neutered,Male
36,Siberian Husky Mix,,Black/Brown,Adoption,Positive,Neutered,Male
48,Siberian Husky Mix,,White/Black,Adoption,Positive,Neutered,Male
72,Siberian Husky Mix,,White/Tan,Adoption,Positive,Neutered,Male
96,Siberian Husky Mix,,Brown/White,Adoption,Positive,Neutered,Male
24,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male
24,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male
72,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male
24,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male
60,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male
60,Siberian Husky Mix,,Brown/Tan,Adoption,Positive,Neutered,Male
48,Siberian Husky Mix,,Sable/White,Adoption,Positive,Neutered,Male
24,Siberian Husky Mix,,Brown/White,Adoption,Positive,Neutered,Male
10,Siberian Husky Mix,,Sable/White,Adoption,Positive,Spayed,Female
10,Siberian Husky Mix,,Black/White,Adoption,Positive,Spayed,Female
2,Siberian Husky Mix,,Sable/White,Adoption,Positive,Spayed,Female
7,Siberian Husky Mix,,White/Black,Adoption,Positive,Spayed,Female
2,Siberian Husky Mix,,Buff/White,Adoption,Positive,Spayed,Female
2,Siberian Husky Mix,,Red,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,Black/White,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,Gray/Black,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,White/Tan,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,White,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,Sable/White,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,Black/White,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,Black/White,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,Brown/White,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,Sable/White,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,Sable/Tan,Adoption,Positive,Spayed,Female
12,Siberian Husky Mix,,Gray/White,Adoption,Positive,Spayed,Female
96,Siberian Husky Mix,,White,Adoption,Positive,Spayed,Female
36,Siberian Husky Mix,,Tricolor,Adoption,Positive,Spayed,Female
96,Siberian Husky Mix,,Buff,Adoption,Positive,Spayed,Female
96,Siberian Husky Mix,,Sable,Adoption,Positive,Spayed,Female
12,Siberian Husky,,Red/White,Adoption,Positive,Intact,Male
12,Siberian Husky,,White/Gray,Adoption,Positive,Neutered,Male
12,Siberian Husky,,Black/White,Adoption,Positive,Neutered,Male
24,Siberian Husky,,White,Adoption,Positive,Neutered,Male
24,Siberian Husky,,Black/Tan,Adoption,Positive,Spayed,Female
36,Siberian Husky,,White/Black,Adoption,Positive,Spayed,Female
24,Siberian Husky,,Brown/White,Adoption,Positive,Spayed,Female
24,Shih Tzu,Norfolk Terrier,Red/White,Adoption,Positive,Neutered,Male
12,Shih Tzu,Dachshund,Tan/Buff,Adoption,Positive,Spayed,Female
120,Shih Tzu Mix,,Black/White,Adoption,Positive,Neutered,Male
24,Shih Tzu Mix,,White,Adoption,Positive,Neutered,Male
36,Shih Tzu Mix,,White,Adoption,Positive,Neutered,Male
24,Shih Tzu Mix,,Buff/Black,Adoption,Positive,Neutered,Male
