CSV_Age,Day_mth_year_cat,Pet_ageMonths,AnimalID,AnimalType,Breed,Color,DateTime,ID,Pet_Name,Outcome_Subtype,Outcome_Type,Pet_Sex
6,days,0.20,,Dog,Chihuahua Shorthair/Pit Bull,White,4/6/2015 18:52,6016,,,,Unknown
2,days,0.07,,Dog,Pit Bull Mix,Blue/White,5/1/2014 15:12,6363,,,,Unknown
2,days,0.07,,Dog,Pit Bull Mix,White/Blue,10/4/2015 16:22,6392,,,,Intact Female
2,days,0.07,,Dog,Pit Bull Mix,White/Blue,10/4/2015 16:22,6553,,,,Intact Male
3,days,0.10,,Dog,Lhasa Apso Mix,White/Brown,25/3/2015 11:25,6837,,,,Unknown
6,days,0.20,,Dog,Labrador Retriever Mix,White,7/4/2014 19:01,6973,,,,Intact Male
5,days,0.17,,Dog,Australian Cattle Dog Mix,Tricolor,3/12/2015 3:40,7030,,,,Intact Female
2,days,0.07,,Dog,Pit Bull Mix,Blue/White,5/1/2014 15:11,7593,,,,Intact Female
2,days,0.07,,Dog,Labrador Retriever Mix,Black/White,31/5/2014 11:21,7608,,,,Intact Male
3,days,0.10,,Dog,Chihuahua Shorthair Mix,Brown,15/9/2014 11:18,7878,,,,Intact Female
6,days,0.20,,Dog,Chihuahua Longhair Mix,Black/Tan,15/7/2014 18:28,8044,,,,Intact Male
2,days,0.07,,Dog,Pit Bull Mix,Fawn/White,5/1/2014 15:11,8073,,,,Intact Male
3,days,0.10,,Dog,Lhasa Apso Mix,White/Brown,25/3/2015 11:26,8326,Bunny1,,,Intact Female
5,days,0.17,,Dog,Boxer Mix,Black,5/2/2016 7:34,8687,,,,Unknown
2,days,0.07,,Dog,Pit Bull Mix,Blue/White,10/4/2015 16:21,8990,,,,Intact Female
2,days,0.07,,Dog,German Shepherd Mix,Chocolate,13/6/2015 15:19,9449,,,,Intact Female
2,days,0.07,,Dog,Labrador Retriever Mix,Cream,31/5/2014 11:22,10126,,,,Intact Female
2,days,0.07,,Dog,German Shepherd Mix,Brown,13/6/2015 15:47,10361,,,,Intact Female
5,days,0.17,,Dog,Pit Bull Mix,Blue,13/3/2014 14:58,10582,,,,Intact Female
4,days,0.13,,Dog,Labrador Retriever Mix,Red,4/12/2014 7:03,10978,,,,Intact Female
6,days,0.20,A698117,Dog,Labrador Retriever Mix,White,6/3/2015 9:54,,,Partner,Transfer,Unknown
6,days,0.20,A704432,Dog,Chihuahua Shorthair/Pit Bull,White,4/6/2015 18:52,,,Partner,Transfer,Unknown
2,days,0.07,A680773,Dog,Dachshund Mix,Black,7/6/2014 17:15,,,Partner,Transfer,Unknown
2,days,0.07,A680770,Dog,Dachshund Mix,Tan,7/6/2014 17:16,,,Partner,Transfer,Unknown
6,days,0.20,A704428,Dog,Chihuahua Shorthair/Pit Bull,Brown Brindle,4/6/2015 18:52,,,Partner,Transfer,Unknown
2,days,0.07,A680140,Dog,Labrador Retriever Mix,Brown,31/5/2014 11:21,,,Partner,Transfer,Intact Female
2,days,0.07,A705119,Dog,German Shepherd Mix,Black/White,13/6/2015 15:19,,,Partner,Transfer,Intact Male
2,days,0.07,A670233,Dog,Pit Bull Mix,Blue/White,5/1/2014 15:11,,,Partner,Transfer,Intact Male
2,days,0.07,A694308,Dog,Pit Bull Mix,Chocolate/White,27/12/2014 12:11,,,Partner,Transfer,Intact Male
2,days,0.07,A680146,Dog,Labrador Retriever Mix,Cream,31/5/2014 11:22,,,Partner,Transfer,Intact Male
2,days,0.07,A680139,Dog,Labrador Retriever Mix,Brown/White,31/5/2014 11:21,,,Partner,Transfer,Intact Male
6,days,0.20,A698116,Dog,Labrador Retriever Mix,White,6/3/2015 9:49,,,Partner,Transfer,Unknown
2,days,0.07,A694307,Dog,Pit Bull Mix,Brown Brindle/White,27/12/2014 12:11,,,Partner,Transfer,Intact Female
6,days,0.20,A698188,Dog,Rat Terrier Mix,White,13/3/2015 16:06,,,Partner,Transfer,Intact Male
2,days,0.07,A694309,Dog,Pit Bull Mix,Chocolate/White,27/12/2014 12:11,,,Partner,Transfer,Intact Female
6,days,0.20,A698119,Dog,Labrador Retriever Mix,Brown,6/3/2015 9:50,,,Partner,Transfer,Unknown
6,days,0.20,A683822,Dog,Chihuahua Longhair Mix,Tricolor,15/7/2014 18:27,,,Partner,Transfer,Intact Male
3,days,0.10,A692362,Dog,Yorkshire Terrier Mix,Tricolor,21/11/2014 16:21,,,Partner,Transfer,Intact Female
2,days,0.07,A680143,Dog,Labrador Retriever Mix,Black/White,31/5/2014 11:21,,,Partner,Transfer,Intact Male
2,days,0.07,A694312,Dog,Pit Bull Mix,White/Chocolate,27/12/2014 12:12,,,Partner,Transfer,Intact Female
2,days,0.07,A700235,Dog,Pit Bull Mix,White/Blue,10/4/2015 16:22,,,Partner,Transfer,Intact Male
2,days,0.07,A693787,Dog,Labrador Retriever Mix,Brown,15/12/2014 10:21,,,Suffering,Euthanasia,Intact Male
6,days,0.20,A701358,Dog,English Bulldog Mix,Tan/White,4/5/2015 15:32,,,Partner,Transfer,Unknown
5,days,0.17,A703850,Dog,American Bulldog Mix,White/Black,31/5/2015 14:54,,,Partner,Transfer,Intact Male
4,days,0.13,A689161,Dog,Chihuahua Shorthair Mix,Chocolate/Tan,30/9/2014 12:14,,,Partner,Transfer,Intact Male
3,days,0.10,A699248,Dog,Lhasa Apso Mix,White/Brown,25/3/2015 11:26,,Hopper,Partner,Transfer,Intact Male
6,days,0.20,A683824,Dog,Chihuahua Longhair Mix,Black/White,15/7/2014 18:29,,,Partner,Transfer,Intact Female
5,days,0.17,A674467,Dog,Pit Bull Mix,White/Blue,13/3/2014 14:59,,,Partner,Transfer,Intact Female
2,days,0.07,A670235,Dog,Pit Bull Mix,Blue/White,5/1/2014 15:12,,,Partner,Transfer,Unknown
2,days,0.07,A680145,Dog,Labrador Retriever Mix,Black/White,31/5/2014 11:22,,,Partner,Transfer,Intact Female
5,days,0.17,A703851,Dog,American Bulldog Mix,White/Tan,31/5/2015 14:55,,,Partner,Transfer,Intact Male
5,days,0.17,A674466,Dog,Pit Bull Mix,Fawn,13/3/2014 14:58,,,Partner,Transfer,Intact Male
2,days,0.07,A705116,Dog,German Shepherd Mix,Chocolate,13/6/2015 15:20,,,Partner,Transfer,Intact Male
5,days,0.17,A674460,Dog,Pit Bull Mix,Sable/White,13/3/2014 14:58,,,Partner,Transfer,Intact Female
5,days,0.17,A674465,Dog,Pit Bull Mix,Sable,13/3/2014 14:58,,,Partner,Transfer,Intact Male
2,days,0.07,A694313,Dog,Pit Bull Mix,Chocolate/White,27/12/2014 12:12,,,Partner,Transfer,Intact Female
3,days,0.10,A717498,Dog,Labrador Retriever Mix,Black,9/12/2015 12:28,,,Partner,Transfer,Intact Male
2,days,0.07,A705114,Dog,German Shepherd Mix,Brown,13/6/2015 15:47,,,Partner,Transfer,Intact Male
6,days,0.20,A701359,Dog,English Bulldog Mix,Blue/White,4/5/2015 15:32,,,Partner,Transfer,Unknown
5,days,0.17,A674462,Dog,Pit Bull Mix,Sable/White,13/3/2014 14:58,,,Partner,Transfer,Intact Female
6,days,0.20,A698185,Dog,Rat Terrier Mix,White,13/3/2015 16:05,,,Partner,Transfer,Intact Female
3,days,0.10,A699249,Dog,Lhasa Apso Mix,White/Brown,25/3/2015 11:26,,,Partner,Transfer,Unknown
2,days,0.07,A680769,Dog,Dachshund Mix,Tan,7/6/2014 17:16,,,Partner,Transfer,Unknown
6,days,0.20,A704429,Dog,Chihuahua Shorthair/Pit Bull,Brown,4/6/2015 18:52,,,Partner,Transfer,Unknown
6,days,0.20,A677176,Dog,Chihuahua Shorthair Mix,White/Brown,26/4/2014 11:19,,,In Foster,Died,Intact Female
5,days,0.17,A674463,Dog,Pit Bull Mix,Sable/White,13/3/2014 14:58,,,Partner,Transfer,Intact Female
3,days,0.10,A699266,Dog,Lhasa Apso Mix,Brown,25/3/2015 7:56,,,In Kennel,Died,Unknown
6,days,0.20,A704430,Dog,Chihuahua Shorthair/Pit Bull,White/Brown,4/6/2015 18:52,,,Partner,Transfer,Unknown
2,days,0.07,A708805,Dog,Pit Bull Mix,Brown/White,2/8/2015 15:59,,,In Kennel,Died,Intact Male
6,days,0.20,A698121,Dog,Labrador Retriever Mix,Brown,6/3/2015 9:50,,,Partner,Transfer,Unknown
2,days,0.07,A680771,Dog,Dachshund Mix,Tan,7/6/2014 17:16,,,Partner,Transfer,Unknown
5,days,0.17,A674468,Dog,Pit Bull Mix,White/Black,13/3/2014 14:59,,,Partner,Transfer,Intact Female
2,days,0.07,A700232,Dog,Pit Bull Mix,Blue/White,10/4/2015 16:21,,,Partner,Transfer,Intact Male
2,days,0.07,A705161,Dog,American Staffordshire Terrier,White/Black,15/6/2015 15:47,,,In Kennel,Died,Unknown
3,days,0.10,A708801,Dog,Pit Bull Mix,Brown/White,3/8/2015 14:26,,,In Kennel,Died,Intact Female
2,days,0.07,A700231,Dog,Pit Bull Mix,Blue/White,10/4/2015 16:21,,,Partner,Transfer,Intact Male
2,days,0.07,A705117,Dog,German Shepherd Mix,Chocolate,13/6/2015 15:20,,,Partner,Transfer,Intact Male
2,days,0.07,A694311,Dog,Pit Bull Mix,Chocolate/White,27/12/2014 12:12,,,Partner,Transfer,Intact Female
2,days,0.07,A694310,Dog,Pit Bull Mix,Chocolate/White,27/12/2014 12:12,,,Partner,Transfer,Intact Female
5,days,0.17,A674461,Dog,Pit Bull Mix,Sable/White,13/3/2014 14:58,,,Partner,Transfer,Intact Male
2,days,0.07,A670238,Dog,Pit Bull Mix,Blue/White,5/1/2014 15:12,,,Partner,Transfer,Unknown
6,days,0.20,A681988,Dog,Chihuahua Shorthair Mix,Brown/Black,27/6/2014 7:59,,Mikey,In Foster,Died,Intact Male
6,days,0.20,A698187,Dog,Rat Terrier Mix,White,13/3/2015 16:06,,,Partner,Transfer,Intact Male
2,days,0.07,A670239,Dog,Pit Bull Mix,Blue/White,5/1/2014 15:12,,,Partner,Transfer,Unknown
2,days,0.07,A670236,Dog,Pit Bull Mix,Blue/White,5/1/2014 15:12,,,Partner,Transfer,Unknown
3,days,0.10,A699264,Dog,Lhasa Apso Mix,White/Brown,25/3/2015 11:26,,Peeps,Partner,Transfer,Intact Female
2,days,0.07,A693168,Dog,Labrador Retriever Mix,Black/White,3/12/2014 14:00,,,Partner,Transfer,Intact Female
6,days,0.20,A698122,Dog,Labrador Retriever Mix,Brown,6/3/2015 9:50,,,Partner,Transfer,Unknown
2,days,0.07,A700233,Dog,Pit Bull Mix,Blue/White,10/4/2015 16:21,,,Partner,Transfer,Intact Male
6,days,0.20,A698118,Dog,Labrador Retriever Mix,White,6/3/2015 9:49,,,Partner,Transfer,Unknown
1,month,1.00,,Dog,Labrador Retriever/German Shepherd,Sable/White,25/4/2015 17:54,126,Sammy,,,Neutered Male
1,month,1.00,,Dog,Carolina Dog Mix,Sable/Brown,18/12/2014 17:37,232,Chloe,,,Spayed Female
1,month,1.00,,Dog,Dachshund Mix,White/Black,13/11/2015 17:13,260,,,,Neutered Male
1,month,1.00,,Dog,Miniature Poodle Mix,Black/White,23/7/2014 16:02,394,,,,Intact Male
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Black/Tan,29/1/2014 12:10,450,Dutchess,,,Intact Female
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Black/Tan,25/1/2014 12:36,484,,,,Intact Male
1,month,1.00,,Dog,Labrador Retriever Mix,Tan,16/1/2015 17:03,487,Bo-Jack,,,Neutered Male
1,month,1.00,,Dog,German Shepherd/Cardigan Welsh Corgi,Tricolor,24/5/2014 17:33,533,,,,Spayed Female
1,month,1.00,,Dog,Pit Bull Mix,Tan/White,19/2/2015 17:43,541,,,,Intact Female
1,month,1.00,,Dog,Labrador Retriever Mix,Brown Brindle,23/1/2014 18:56,904,,,,Spayed Female
1,month,1.00,,Dog,Australian Cattle Dog Mix,Brown Brindle,14/8/2014 7:18,933,Rogue,,,Spayed Female
1,month,1.00,,Dog,Labrador Retriever Mix,Black/White,31/7/2015 17:58,950,,,,Neutered Male
1,month,1.00,,Dog,Labrador Retriever/Boxer,Tan/White,9/5/2015 14:40,979,,,,Neutered Male
1,month,1.00,,Dog,German Shepherd Mix,White/Tan,14/12/2013 15:37,1088,,,,Intact Female
1,month,1.00,,Dog,Pit Bull Mix,Blue,2/8/2015 14:15,1138,Jelly,,,Neutered Male
1,month,1.00,,Dog,Rottweiler Mix,Black/Tan,1/3/2014 17:51,1242,,,,Intact Female
1,month,1.00,,Dog,German Shepherd/Golden Retriever,Sable,5/4/2014 17:24,1306,Presley,,,Spayed Female
1,month,1.00,,Dog,Australian Cattle Dog Mix,White/Tan,13/8/2014 16:47,1386,Infinity,,,Neutered Male
1,month,1.00,,Dog,German Shepherd Mix,Black/Brown,18/2/2015 12:06,1420,,,,Intact Female
1,month,1.00,,Dog,Pit Bull Mix,Black,6/9/2014 14:08,1443,,,,Intact Male
1,month,1.00,,Dog,Pit Bull Mix,Black/White,13/7/2015 11:20,1456,,,,Intact Male
1,month,1.00,,Dog,Pointer Mix,White/Black,21/8/2014 15:36,1475,,,,Intact Female
1,month,1.00,,Dog,Labrador Retriever/Border Collie,White/Black,11/9/2015 18:10,1574,Spot,,,Neutered Male
1,month,1.00,,Dog,Pit Bull/Australian Cattle Dog,White/Black,30/5/2014 17:34,1603,,,,Intact Female
1,month,1.00,,Dog,Bull Terrier Mix,Sable,19/7/2015 14:29,1696,,,,Intact Female
1,month,1.00,,Dog,Pit Bull Mix,Brown Brindle/White,12/2/2015 15:38,1714,,,,Spayed Female
1,month,1.00,,Dog,Flat Coat Retriever/Papillon,Black/Brown,24/10/2015 17:58,1757,Annie,,,Spayed Female
1,month,1.00,,Dog,Boxer Mix,Black,19/6/2015 0:00,1764,,,,Unknown
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Tan/Buff,25/1/2014 11:37,1824,Starbucks,,,Intact Male
1,month,1.00,,Dog,Labrador Retriever Mix,Cream/White,7/2/2015 19:07,1868,,,,Spayed Female
1,month,1.00,,Dog,Patterdale Terr Mix,Black/White,23/10/2014 18:38,1919,,,,Spayed Female
1,month,1.00,,Dog,Labrador Retriever/Australian Shepherd,Black/White,9/7/2014 17:22,1988,Khaleesi,,,Spayed Female
1,month,1.00,,Dog,German Shepherd Mix,Black/Tan,10/12/2015 14:15,1997,Jovie,,,Intact Female
1,month,1.00,,Dog,Chihuahua Shorthair/Cairn Terrier,Black/Tan,2/7/2014 9:48,2041,Dobby,,,Neutered Male
1,month,1.00,,Dog,Labrador Retriever Mix,Black,31/7/2015 18:52,2088,Simone,,,Spayed Female
1,month,1.00,,Dog,Pit Bull Mix,Black/White,29/8/2014 16:24,2199,,,,Intact Female
1,month,1.00,,Dog,Labrador Retriever Mix,Brown Brindle,31/7/2015 18:02,2207,Flash,,,Neutered Male
1,month,1.00,,Dog,Treeing Walker Coonhound Mix,White/Black,13/10/2013 13:41,2219,Scout,,,Intact Female
1,month,1.00,,Dog,Chinese Sharpei Mix,White/Brown Brindle,30/11/2013 9:36,2241,Bubbles,,,Neutered Male
1,month,1.00,,Dog,Plott Hound Mix,Brown,20/9/2015 16:14,2261,,,,Neutered Male
1,month,1.00,,Dog,Dachshund/Chihuahua Shorthair,Black/White,29/1/2015 17:59,2340,Clementine,,,Spayed Female
1,month,1.00,,Dog,Pekingese Mix,White/Black,10/5/2014 16:54,2440,Louis,,,Intact Male
1,month,1.00,,Dog,Dachshund Mix,Blue Merle,16/12/2013 15:50,2517,,,,Intact Female
1,month,1.00,,Dog,Irish Setter/Pit Bull,Black,27/10/2014 14:04,2538,Seven,,,Intact Male
1,month,1.00,,Dog,Border Collie Mix,Black/White,5/1/2016 17:19,2545,Luke,,,Neutered Male
1,month,1.00,,Dog,Pit Bull Mix,Brown Brindle,27/1/2015 18:00,2653,Tbone Jones,,,Neutered Male
1,month,1.00,,Dog,Pit Bull Mix,Chocolate/White,2/11/2015 14:03,2661,Hazel,,,Intact Female
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Black/White,18/11/2014 15:33,2765,,,,Intact Female
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Red,12/5/2014 17:36,2782,Wii,,,Neutered Male
1,month,1.00,,Dog,Australian Kelpie Mix,Tricolor,15/10/2013 16:10,2807,,,,Intact Male
1,month,1.00,,Dog,German Shepherd/Labrador Retriever,Black/White,19/11/2013 12:08,2890,Satie,,,Spayed Female
1,month,1.00,,Dog,German Shepherd Mix,Black/Brown,13/12/2014 17:06,2902,,,,Spayed Female
1,month,1.00,,Dog,Labrador Retriever Mix,Black,30/4/2014 14:25,3087,Sullivan,,,Intact Male
1,month,1.00,,Dog,Miniature Poodle Mix,Apricot,11/5/2015 17:41,3145,,,,Intact Male
1,month,1.00,,Dog,Miniature Schnauzer Mix,Gray/White,21/6/2015 13:22,3356,,,,Intact Female
1,month,1.00,,Dog,Labrador Retriever Mix,Buff,7/1/2015 17:59,3370,Orion,,,Neutered Male
1,month,1.00,,Dog,Border Terrier Mix,Brown Brindle,8/12/2015 16:12,3501,Sam,,,Intact Male
1,month,1.00,,Dog,Labrador Retriever/Blue Lacy,White/Black,7/7/2014 18:03,3514,Daisy,,,Spayed Female
1,month,1.00,,Dog,Labrador Retriever Mix,Black,13/2/2016 18:58,3594,Gypsy,,,Spayed Female
1,month,1.00,,Dog,Australian Cattle Dog Mix,Tricolor,29/10/2013 11:27,3618,,,,Intact Male
1,month,1.00,,Dog,Shih Tzu,Chocolate/White,30/5/2015 18:19,3713,,,,Spayed Female
1,month,1.00,,Dog,Labrador Retriever/Boxer,White/Cream,9/5/2015 13:46,3745,,,,Neutered Male
1,month,1.00,,Dog,Yorkshire Terrier Mix,Sable/Red,24/6/2015 14:01,3766,Agata,,,Spayed Female
1,month,1.00,,Dog,Plott Hound Mix,Brown/Black,10/9/2015 11:45,3814,,,,Intact Male
1,month,1.00,,Dog,Rat Terrier Mix,White,5/5/2014 17:46,3826,Pearl,,,Spayed Female
1,month,1.00,,Dog,Pit Bull Mix,Black/White,13/7/2015 11:20,3946,,,,Intact Male
1,month,1.00,,Dog,Plott Hound Mix,White/Brown,19/9/2015 13:06,4020,,,,Spayed Female
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Black/White,28/12/2014 13:26,4117,Polly,,,Intact Female
1,month,1.00,,Dog,Labrador Retriever Mix,Black,23/1/2016 16:01,4172,Baxter,,,Intact Male
1,month,1.00,,Dog,Boxer Mix,Black,19/6/2015 0:00,4251,,,,Unknown
1,month,1.00,,Dog,Pit Bull Mix,White/Chocolate,21/6/2015 17:51,4293,,,,Intact Male
1,month,1.00,,Dog,Golden Retriever/Cocker Spaniel,Brown/White,5/2/2014 18:52,4362,O'Malley,,,Intact Male
1,month,1.00,,Dog,Australian Shepherd Mix,Brown/White,29/12/2013 13:37,4487,,,,Spayed Female
1,month,1.00,,Dog,Golden Retriever Mix,Gold,1/12/2015 16:16,4644,,,,Intact Male
1,month,1.00,,Dog,Yorkshire Terrier Mix,Black/Tan,30/10/2013 17:16,4650,Lilly,,,Intact Female
1,month,1.00,,Dog,Dachshund Wirehair/Miniature Poodle,Black/Tan,1/8/2015 18:25,4682,Rio,,,Neutered Male
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Tricolor,8/3/2014 17:48,4721,Belle,,,Spayed Female
1,month,1.00,,Dog,Labrador Retriever Mix,Black/White,20/6/2015 0:00,4769,Ladybird,,,Spayed Female
1,month,1.00,,Dog,German Shepherd Mix,Sable,20/2/2015 17:47,4792,Sady,,,Spayed Female
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Brown,29/11/2015 9:06,4895,,,,Intact Female
1,month,1.00,,Dog,Labrador Retriever Mix,Black/White,25/1/2016 18:00,5017,Lola,,,Spayed Female
1,month,1.00,,Dog,Pit Bull Mix,Brown/White,23/5/2014 16:24,5075,,,,Intact Female
1,month,1.00,,Dog,German Shepherd Mix,Black/Tan,19/11/2013 18:59,5149,,,,Intact Male
1,month,1.00,,Dog,Bull Terrier Mix,Sable/White,19/7/2015 14:29,5204,,,,Intact Female
1,month,1.00,,Dog,Australian Cattle Dog Mix,White/Brown Brindle,13/8/2014 17:10,5373,Memphis,,,Neutered Male
1,month,1.00,,Dog,Australian Cattle Dog Mix,White/Tan,13/8/2014 16:50,5402,Hank,,,Neutered Male
1,month,1.00,,Dog,Australian Cattle Dog Mix,Sable,30/5/2014 17:35,5530,,,,Intact Female
1,month,1.00,,Dog,Labrador Retriever/Blue Lacy,Brown Brindle,7/7/2014 17:33,5579,Brindie,,,Spayed Female
1,month,1.00,,Dog,Beagle/German Shepherd,Black/Brown,30/1/2015 17:51,5698,Gunner,,,Neutered Male
1,month,1.00,,Dog,Australian Cattle Dog Mix,Black/White,1/5/2015 13:55,5779,June,,,Spayed Female
1,month,1.00,,Dog,Manchester Terrier Mix,Brown/White,27/1/2015 12:18,5862,Sally,,,Intact Female
1,month,1.00,,Dog,Pit Bull Mix,Brown Brindle/White,2/9/2014 14:09,5869,Georgie,,,Intact Male
1,month,1.00,,Dog,Australian Shepherd Mix,Black/Tan,4/12/2013 17:28,5878,,,,Intact Male
1,month,1.00,,Dog,Pit Bull Mix,Brown/White,23/5/2014 16:24,6024,,,,Intact Female
1,month,1.00,,Dog,Great Pyrenees Mix,White/Buff,15/4/2014 13:27,6057,Talini,,,Intact Female
1,month,1.00,,Dog,Pit Bull Mix,Black/White,29/8/2014 16:24,6119,,,,Intact Female
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Black/Brown,29/8/2015 13:43,6274,,,,Intact Female
1,month,1.00,,Dog,Australian Cattle Dog Mix,Tricolor,21/5/2014 17:10,6304,Tucker,,,Neutered Male
1,month,1.00,,Dog,Chinese Sharpei Mix,Brown Brindle/White,28/11/2013 9:22,6417,Button,,,Neutered Male
1,month,1.00,,Dog,Labrador Retriever Mix,Brown/White,9/2/2015 12:14,6511,,,,Spayed Female
1,month,1.00,,Dog,Shih Tzu Mix,White/Chocolate,2/4/2015 0:00,6630,Latte,,,Intact Male
1,month,1.00,,Dog,Chihuahua Shorthair Mix,White/Chocolate,24/7/2014 16:21,6727,,,,Intact Male
1,month,1.00,,Dog,Labrador Retriever/Blue Lacy,Blue/White,7/7/2014 17:52,6796,,,,Neutered Male
1,month,1.00,,Dog,Labrador Retriever Mix,Brown/White,7/2/2015 16:47,6892,,,,Spayed Female
1,month,1.00,,Dog,Yorkshire Terrier Mix,Black/Brown,30/4/2014 17:50,6948,Jerry,,,Intact Male
1,month,1.00,,Dog,Labrador Retriever Mix,Black/White,13/4/2015 12:09,6998,,,,Intact Female
1,month,1.00,,Dog,Pit Bull Mix,Brown Brindle,11/8/2015 14:39,7006,,,,Intact Male
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Chocolate/Tan,23/3/2014 18:05,7013,,,,Neutered Male
1,month,1.00,,Dog,Labrador Retriever/Blue Lacy,Tan/White,9/7/2014 17:57,7076,Scout,,,Neutered Male
1,month,1.00,,Dog,Pit Bull Mix,Black,6/9/2014 14:07,7095,,,,Intact Male
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Black,20/6/2015 14:53,7105,,,,Intact Male
1,month,1.00,,Dog,Australian Shepherd Mix,Tricolor,6/8/2015 11:55,7139,,,,Intact Male
1,month,1.00,,Dog,Whippet/Dachshund,Tricolor,26/9/2014 17:05,7147,Sadie,,,Spayed Female
1,month,1.00,,Dog,Labrador Retriever/German Shepherd,Black,30/6/2014 18:00,7197,,,,Spayed Female
1,month,1.00,,Dog,Chihuahua Shorthair Mix,Tricolor,28/6/2015 15:45,7211,,,,Intact Male
1,month,1.00,,Dog,German Shepherd/Boxer,Brown/Black,6/7/2015 18:58,7248,Crowley,,,Intact Male
1,month,1.00,,Dog,Labrador Retriever/Pit Bull,Black/White,26/7/2014 18:00,7293,Yuki,,,Spayed Female
1,month,1.00,,Dog,Jack Russell Terrier/Labrador Retriever,Chocolate,15/6/2014 17:41,7371,,,,Intact Male
1,month,1.00,,Dog,German Shepherd Mix,Black/Brown,17/6/2014 13:23,7372,,,,Spayed Female
1,month,1.00,,Dog,Australian Shepherd Mix,White/Tan,5/2/2016 18:32,7503,Sweet Pea,,,Spayed Female
