Pet_ageMonths,Breed_primary,Breed_secondary,Color,Outcome_Type,Outcome_Rating,Fixed,Sex,pet_id
2.0,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male,34
10.0,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Neutered,Male,35
12.0,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Neutered,Male,36
12.0,Yorkshire Terrier Mix,,Brown/White,Adoption,Positive,Neutered,Male,37
12.0,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Neutered,Male,38
12.0,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male,39
12.0,Yorkshire Terrier Mix,,Silver/Tan,Adoption,Positive,Neutered,Male,40
12.0,Yorkshire Terrier Mix,,Black,Adoption,Positive,Neutered,Male,41
12.0,Yorkshire Terrier Mix,,Sable,Adoption,Positive,Neutered,Male,42
12.0,Yorkshire Terrier Mix,,Silver/Brown,Adoption,Positive,Neutered,Male,43
12.0,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Neutered,Male,44
12.0,Yorkshire Terrier Mix,,Brown/Black,Adoption,Positive,Neutered,Male,45
12.0,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Neutered,Male,46
24.0,Yorkshire Terrier Mix,,Tan/Blue,Adoption,Positive,Neutered,Male,47
24.0,Yorkshire Terrier Mix,,Blue/Tan,Adoption,Positive,Neutered,Male,48
24.0,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male,49
48.0,Yorkshire Terrier Mix,,White/Gray,Adoption,Positive,Neutered,Male,50
24.0,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Neutered,Male,51
72.0,Yorkshire Terrier Mix,,Blue/Tan,Adoption,Positive,Neutered,Male,52
72.0,Yorkshire Terrier Mix,,Silver/Tan,Adoption,Positive,Neutered,Male,53
144.0,Yorkshire Terrier Mix,,Blue/Tan,Adoption,Positive,Neutered,Male,54
24.0,Yorkshire Terrier Mix,,Silver/Tan,Adoption,Positive,Neutered,Male,55
120.0,Yorkshire Terrier Mix,,Brown,Adoption,Positive,Neutered,Male,56
24.0,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Neutered,Male,57
84.0,Yorkshire Terrier Mix,,White/Gray,Adoption,Positive,Neutered,Male,58
36.0,Yorkshire Terrier Mix,,White/Tan,Adoption,Positive,Neutered,Male,59
36.0,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male,60
24.0,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Neutered,Male,61
24.0,Yorkshire Terrier Mix,,Silver/Tan,Adoption,Positive,Neutered,Male,62
24.0,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Neutered,Male,63
24.0,Yorkshire Terrier Mix,,Black,Adoption,Positive,Neutered,Male,64
24.0,Yorkshire Terrier Mix,,Brown/Black,Adoption,Positive,Neutered,Male,65
72.0,Yorkshire Terrier Mix,,Red/Silver,Adoption,Positive,Neutered,Male,66
1.0,Yorkshire Terrier Mix,,Cream,Adoption,Positive,Spayed,Female,67
9.0,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Spayed,Female,68
6.0,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Spayed,Female,69
9.0,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Spayed,Female,70
12.0,Yorkshire Terrier Mix,,Gray/Tan,Adoption,Positive,Spayed,Female,71
12.0,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Spayed,Female,72
12.0,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Spayed,Female,73
36.0,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Spayed,Female,74
36.0,Yorkshire Terrier Mix,,Blue/Tan,Adoption,Positive,Spayed,Female,75
24.0,Yorkshire Terrier Mix,,Brown/Black,Adoption,Positive,Spayed,Female,76
36.0,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Spayed,Female,77
24.0,Yorkshire Terrier Mix,,Gray,Adoption,Positive,Spayed,Female,78
48.0,Yorkshire Terrier Mix,,Black/Brown,Adoption,Positive,Spayed,Female,79
24.0,Yorkshire Terrier Mix,,Brown/Black,Adoption,Positive,Spayed,Female,80
24.0,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Spayed,Female,81
24.0,Yorkshire Terrier Mix,,Tan/Silver,Adoption,Positive,Spayed,Female,82
48.0,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Spayed,Female,83
36.0,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Spayed,Female,84
96.0,Yorkshire Terrier,,Red/Black,Adoption,Positive,Neutered,Male,85
96.0,Yorkshire Terrier,,Gray/Brown,Adoption,Positive,Neutered,Male,86
120.0,Yorkshire Terrier,,Tan/Gray,Adoption,Positive,Neutered,Male,87
24.0,Yorkshire Terrier,,Brown/Black,Adoption,Positive,Neutered,Male,88
60.0,Yorkshire Terrier,,Tan/Gray,Adoption,Positive,Spayed,Female,89
60.0,Yorkshire Terrier,,Tan/Gray,Adoption,Positive,Spayed,Female,90
120.0,Yorkshire Terrier,,Tan/Gray,Adoption,Positive,Spayed,Female,91
2.0,Wire Hair Fox Terrier,Chihuahua Shorthair,Tan/White,Adoption,Positive,Neutered,Male,92
2.0,Wire Hair Fox Terrier,Chihuahua Shorthair,Cream/White,Adoption,Positive,Neutered,Male,93
4.0,Wire Hair Fox Terrier,Chihuahua Shorthair,Cream/White,Adoption,Positive,Spayed,Female,94
2.0,Wire Hair Fox Terrier,Beagle,Blue/Cream,Adoption,Positive,Neutered,Male,95
2.0,Wire Hair Fox Terrier,Beagle,Tan,Adoption,Positive,Neutered,Male,96
5.0,Wire Hair Fox Terrier Mix,,White/Tan,Adoption,Positive,Intact,Male,97
3.0,Wire Hair Fox Terrier Mix,,Brown/Black,Adoption,Positive,Intact,Female,98
24.0,Wire Hair Fox Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male,99
2.0,Wire Hair Fox Terrier Mix,,White/Brown,Adoption,Positive,Spayed,Female,100
3.0,Wire Hair Fox Terrier Mix,,White/White,Adoption,Positive,Spayed,Female,101
7.0,Wire Hair Fox Terrier Mix,,Tricolor,Adoption,Positive,Spayed,Female,102
36.0,Whippet,Shetland Sheepdog,Tricolor,Adoption,Positive,Spayed,Female,103
12.0,Whippet,Labrador Retriever,Brown Brindle/White,Adoption,Positive,Spayed,Female,104
12.0,Whippet,Jack Russell Terrier,White/Brown,Adoption,Positive,Spayed,Female,105
24.0,Whippet,Chihuahua Shorthair,White/Brown,Adoption,Positive,Neutered,Male,106
12.0,Whippet,Borzoi,Tricolor/Black,Adoption,Positive,Spayed,Female,107
7.0,Whippet,Beagle,Red/White,Adoption,Positive,Neutered,Male,108
5.0,Whippet,Australian Kelpie,Brown Brindle/White,Adoption,Positive,Spayed,Female,109
4.0,Whippet Mix,,White/Tan,Adoption,Positive,Neutered,Male,110
6.0,Whippet Mix,,Tan,Adoption,Positive,Neutered,Male,111
12.0,Whippet Mix,,Brown/White,Adoption,Positive,Neutered,Male,112
12.0,Whippet Mix,,White/Tan,Adoption,Positive,Neutered,Male,113
24.0,Whippet Mix,,Brown/White,Adoption,Positive,Neutered,Male,114
36.0,Whippet Mix,,Fawn,Adoption,Positive,Neutered,Male,115
9.0,Whippet Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female,116
8.0,Whippet Mix,,Chocolate/White,Adoption,Positive,Spayed,Female,117
12.0,Whippet Mix,,Brown Brindle,Adoption,Positive,Spayed,Female,118
24.0,Whippet Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female,119
24.0,Whippet Mix,,White/Black,Adoption,Positive,Spayed,Female,120
12.0,West Highland Mix,,White,Adoption,Positive,Neutered,Male,121
24.0,West Highland Mix,,White/Black,Adoption,Positive,Neutered,Male,122
36.0,West Highland Mix,,White/Tan,Adoption,Positive,Spayed,Female,123
24.0,West Highland,,White,Adoption,Positive,Neutered,Male,124
12.0,West Highland,,White,Adoption,Positive,Spayed,Female,125
10.0,Welsh Terrier Mix,,Black/Brown,Adoption,Positive,Neutered,Male,126
12.0,Welsh Terrier Mix,,Black/Brown,Adoption,Positive,Neutered,Male,127
24.0,Welsh Terrier Mix,,Tricolor,Adoption,Positive,Neutered,Male,128
24.0,Welsh Springer Spaniel,,White/Chocolate,Adoption,Positive,Spayed,Female,129
2.0,Weimaraner,Pit Bull,Fawn/White,Adoption,Positive,Neutered,Male,130
9.0,Weimaraner Mix,,Blue,Adoption,Positive,Spayed,Female,131
36.0,Weimaraner,,Silver,Adoption,Positive,Spayed,Female,132
60.0,Vizsla,Staffordshire,Red/White,Adoption,Positive,Spayed,Female,133
6.0,Vizsla,Golden Retriever,Red/Black,Adoption,Positive,Spayed,Female,134
6.0,Vizsla,Golden Retriever,Red/White,Adoption,Positive,Spayed,Female,135
36.0,Vizsla,Catahoula,Red/Tan,Adoption,Positive,Spayed,Female,136
36.0,Vizsla,Boxer,Brown,Adoption,Positive,Neutered,Male,137
2.0,Vizsla Mix,,Brown,Adoption,Positive,Neutered,Male,138
12.0,Vizsla Mix,,Red,Adoption,Positive,Neutered,Male,139
3.0,Vizsla Mix,,Red/White,Adoption,Positive,Spayed,Female,140
2.0,Vizsla Mix,,Red/White,Adoption,Positive,Spayed,Female,141
12.0,Vizsla Mix,,Red/White,Adoption,Positive,Spayed,Female,142
24.0,Vizsla Mix,,Brown/White,Adoption,Positive,Spayed,Female,143
10.0,Vizsla,,Red,Adoption,Positive,Neutered,Male,144
120.0,Vizsla,,Red,Adoption,Positive,Neutered,Male,145
2.0,Treeing Walker Coonhound Mix,,Brown/White,Adoption,Positive,Neutered,Male,146
12.0,Treeing Walker Coonhound Mix,,Blue Tick,Adoption,Positive,Spayed,Female,147
9.0,Treeing Tennesse Brindle,,Brown Brindle/White,Adoption,Positive,Spayed,Female,148
12.0,Treeing Cur Mix,,Brown Brindle/White,Adoption,Positive,Neutered,Male,149
36.0,Toy Poodle,Yorkshire Terrier,Tricolor,Adoption,Positive,Neutered,Male,150
180.0,Toy Poodle Mix,,Black,Adoption,Positive,Intact,Male,151
24.0,Toy Poodle Mix,,White,Adoption,Positive,Neutered,Male,152
24.0,Toy Poodle Mix,,Buff,Adoption,Positive,Neutered,Male,153
36.0,Toy Poodle Mix,,Black,Adoption,Positive,Neutered,Male,154
36.0,Toy Poodle Mix,,Apricot,Adoption,Positive,Neutered,Male,155
72.0,Toy Poodle Mix,,Apricot,Adoption,Positive,Neutered,Male,156
48.0,Toy Poodle Mix,,White,Adoption,Positive,Neutered,Male,157
48.0,Toy Poodle Mix,,White/Cream,Adoption,Positive,Neutered,Male,158
48.0,Toy Poodle Mix,,Black/Gray,Adoption,Positive,Neutered,Male,159
36.0,Toy Poodle Mix,,White,Adoption,Positive,Neutered,Male,160
12.0,Toy Poodle Mix,,White,Adoption,Positive,Spayed,Female,161
120.0,Toy Poodle Mix,,Gray,Adoption,Positive,Spayed,Female,162
60.0,Toy Poodle,,White,Adoption,Positive,Neutered,Male,163
60.0,Toy Poodle,,White,Adoption,Positive,Neutered,Male,164
72.0,Toy Poodle,,Black,Adoption,Positive,Spayed,Female,165
96.0,Toy Poodle,,White,Adoption,Positive,Spayed,Female,166
60.0,Toy Poodle,,Apricot,Adoption,Positive,Spayed,Female,167
24.0,Toy Poodle,,White,Adoption,Positive,Spayed,Female,168
4.0,Toy Fox Terrier,Dachshund,Red/White,Adoption,Positive,Spayed,Female,169
3.0,Toy Fox Terrier Mix,,Brown/White,Adoption,Positive,Neutered,Male,170
60.0,Toy Fox Terrier Mix,,Tricolor,Adoption,Positive,Neutered,Male,171
3.0,Toy Fox Terrier Mix,,White/Tricolor,Adoption,Positive,Spayed,Female,172
10.0,Tibetan Terrier,Lhasa Apso,Black/White,Adoption,Positive,Neutered,Male,173
12.0,Tibetan Terrier Mix,,Black/White,Adoption,Positive,Neutered,Male,174
48.0,Tibetan Terrier Mix,,Black/White,Adoption,Positive,Neutered,Male,175
36.0,Tibetan Terrier Mix,,Gray,Adoption,Positive,Spayed,Female,176
10.0,Tibetan Spaniel Mix,,Black/Tan,Adoption,Positive,Neutered,Male,177
24.0,Swedish Vallhund,Miniature Poodle,Tricolor,Adoption,Positive,Neutered,Male,178
12.0,Swedish Vallhund Mix,,Tan/Black,Adoption,Positive,Neutered,Male,179
72.0,Swedish Vallhund Mix,,Sable,Adoption,Positive,Neutered,Male,180
36.0,Swedish Vallhund Mix,,Sable,Adoption,Positive,Neutered,Male,181
60.0,Swedish Vallhund Mix,,Sable,Adoption,Positive,Neutered,Male,182
12.0,Swedish Vallhund Mix,,Sable,Adoption,Positive,Spayed,Female,183
60.0,Standard Schnauzer Mix,,Blue/Tan,Adoption,Positive,Neutered,Male,184
12.0,Standard Schnauzer Mix,,Blue,Adoption,Positive,Spayed,Female,185
36.0,Standard Schnauzer Mix,,Cream,Adoption,Positive,Spayed,Female,186
24.0,Standard Schnauzer Mix,,Black,Adoption,Positive,Spayed,Female,187
8.0,Standard Schnauzer,,Black,Adoption,Positive,Spayed,Female,188
36.0,Standard Poodle,Whippet,White,Adoption,Positive,Spayed,Female,189
12.0,Standard Poodle,Labrador Retriever,Black,Adoption,Positive,Spayed,Female,190
12.0,Standard Poodle Mix,,White,Adoption,Positive,Intact,Male,191
2.0,Standard Poodle Mix,,Black/Gray,Adoption,Positive,Neutered,Male,192
2.0,Standard Poodle Mix,,Black/White,Adoption,Positive,Neutered,Male,193
3.0,Standard Poodle Mix,,White,Adoption,Positive,Spayed,Female,194
24.0,Standard Poodle,,Black,Adoption,Positive,Intact,Male,195
72.0,Standard Poodle,,Chocolate,Adoption,Positive,Spayed,Female,196
12.0,Staffordshire,French Bulldog,Fawn/White,Adoption,Positive,Spayed,Female,197
36.0,Staffordshire,English Bulldog,Brown Brindle,Adoption,Positive,Spayed,Female,198
12.0,Staffordshire,Boxer,White,Adoption,Positive,Neutered,Male,199
60.0,Staffordshire,Boston Terrier,Brown/White,Adoption,Positive,Neutered,Male,200
24.0,Staffordshire,Blue Lacy,Blue/White,Adoption,Positive,Spayed,Female,201
12.0,Staffordshire Mix,,White/Tan,Adoption,Positive,Neutered,Male,202
12.0,Staffordshire Mix,,Brown Brindle,Adoption,Positive,Neutered,Male,203
12.0,Staffordshire Mix,,White/Brown,Adoption,Positive,Neutered,Male,204
12.0,Staffordshire Mix,,Brown Brindle/White,Adoption,Positive,Neutered,Male,205
12.0,Staffordshire Mix,,Tan/White,Adoption,Positive,Neutered,Male,206
12.0,Staffordshire Mix,,Brown Brindle/White,Adoption,Positive,Neutered,Male,207
12.0,Staffordshire Mix,,Black/White,Adoption,Positive,Neutered,Male,208
24.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male,209
36.0,Staffordshire Mix,,White/Chocolate,Adoption,Positive,Neutered,Male,210
24.0,Staffordshire Mix,,White/Black,Adoption,Positive,Neutered,Male,211
24.0,Staffordshire Mix,,Chocolate/White,Adoption,Positive,Neutered,Male,212
96.0,Staffordshire Mix,,Tan/White,Adoption,Positive,Neutered,Male,213
24.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male,214
24.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male,215
24.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male,216
72.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Neutered,Male,217
6.0,Staffordshire Mix,,Brown/White,Adoption,Positive,Spayed,Female,218
9.0,Staffordshire Mix,,Yellow Brindle/White,Adoption,Positive,Spayed,Female,219
12.0,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female,220
12.0,Staffordshire Mix,,Brown/White,Adoption,Positive,Spayed,Female,221
12.0,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female,222
12.0,Staffordshire Mix,,White/Tan,Adoption,Positive,Spayed,Female,223
12.0,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female,224
12.0,Staffordshire Mix,,Brown,Adoption,Positive,Spayed,Female,225
12.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female,226
12.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female,227
12.0,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female,228
12.0,Staffordshire Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female,229
12.0,Staffordshire Mix,,Tan,Adoption,Positive,Spayed,Female,230
12.0,Staffordshire Mix,,Brown/White,Adoption,Positive,Spayed,Female,231
36.0,Staffordshire Mix,,Blue,Adoption,Positive,Spayed,Female,232
36.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female,233
24.0,Staffordshire Mix,,Black,Adoption,Positive,Spayed,Female,234
24.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female,235
24.0,Staffordshire Mix,,Black Brindle/White,Adoption,Positive,Spayed,Female,236
36.0,Staffordshire Mix,,Brown Brindle,Adoption,Positive,Spayed,Female,237
36.0,Staffordshire Mix,,White/Black,Adoption,Positive,Spayed,Female,238
84.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female,239
24.0,Staffordshire Mix,,Brown/Black,Adoption,Positive,Spayed,Female,240
24.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female,241
36.0,Staffordshire Mix,,Chocolate/White,Adoption,Positive,Spayed,Female,242
24.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female,243
24.0,Staffordshire Mix,,Brown/White,Adoption,Positive,Spayed,Female,244
72.0,Staffordshire Mix,,Blue/White,Adoption,Positive,Spayed,Female,245
36.0,Staffordshire Mix,,Black/White,Adoption,Positive,Spayed,Female,246
36.0,Staffordshire,,Red/White,Adoption,Positive,Neutered,Male,247
36.0,Staffordshire,,Fawn/White,Adoption,Positive,Spayed,Female,248
24.0,Staffordshire,,Brown Brindle,Adoption,Positive,Spayed,Female,249
48.0,Staffordshire,,White/Tan,Adoption,Positive,Spayed,Female,250
24.0,Staffordshire,,Black/White,Adoption,Positive,Spayed,Female,251
12.0,St. Bernard Smooth Coat,Anatol Shepherd,White/Brown Brindle,Adoption,Positive,Neutered,Male,252
2.0,St. Bernard Smooth Coat Mix,,Tricolor,Adoption,Positive,Spayed,Female,253
12.0,St. Bernard Rough Coat,Standard Schnauzer,Gray/White,Adoption,Positive,Neutered,Male,254
36.0,St. Bernard Rough Coat Mix,,Tricolor,Adoption,Positive,Neutered,Male,255
120.0,Soft Coated Wheaten Terrier,Standard Poodle,Black/White,Adoption,Positive,Spayed,Female,256
9.0,Soft Coated Wheaten Terrier,Labrador Retriever,Sable/Tan,Adoption,Positive,Spayed,Female,257
2.0,Soft Coated Wheaten Terrier Mix,,Buff/Tan,Adoption,Positive,Intact,Female,258
3.0,Soft Coated Wheaten Terrier Mix,,Tan,Adoption,Positive,Neutered,Male,259
10.0,Soft Coated Wheaten Terrier Mix,,Cream,Adoption,Positive,Neutered,Male,260
8.0,Soft Coated Wheaten Terrier Mix,,Brown,Adoption,Positive,Neutered,Male,261
3.0,Soft Coated Wheaten Terrier Mix,,Buff,Adoption,Positive,Neutered,Male,262
12.0,Soft Coated Wheaten Terrier Mix,,Cream/Black,Adoption,Positive,Neutered,Male,263
12.0,Soft Coated Wheaten Terrier Mix,,White,Adoption,Positive,Neutered,Male,264
24.0,Soft Coated Wheaten Terrier Mix,,White,Adoption,Positive,Neutered,Male,265
60.0,Soft Coated Wheaten Terrier Mix,,Cream,Adoption,Positive,Neutered,Male,266
10.0,Soft Coated Wheaten Terrier Mix,,Tan/Black,Adoption,Positive,Spayed,Female,267
2.0,Soft Coated Wheaten Terrier Mix,,Buff,Adoption,Positive,Spayed,Female,268
2.0,Soft Coated Wheaten Terrier Mix,,Tan,Adoption,Positive,Spayed,Female,269
12.0,Soft Coated Wheaten Terrier Mix,,White/Black,Adoption,Positive,Spayed,Female,270
12.0,Soft Coated Wheaten Terrier Mix,,White/Buff,Adoption,Positive,Spayed,Female,271
24.0,Soft Coated Wheaten Terrier Mix,,Buff/White,Adoption,Positive,Spayed,Female,272
24.0,Soft Coated Wheaten Terrier Mix,,Buff,Adoption,Positive,Spayed,Female,273
7.0,Smooth Fox Terrier Mix,,White/Brown,Adoption,Positive,Neutered,Male,274
2.0,Smooth Fox Terrier Mix,,White/Tan,Adoption,Positive,Neutered,Male,275
3.0,Smooth Fox Terrier Mix,,White/Tan,Adoption,Positive,Neutered,Male,276
96.0,Smooth Fox Terrier Mix,,Tricolor,Adoption,Positive,Neutered,Male,277
48.0,Smooth Fox Terrier Mix,,White/Brown,Adoption,Positive,Neutered,Male,278
6.0,Smooth Fox Terrier Mix,,Tan,Adoption,Positive,Spayed,Female,279
72.0,Smooth Fox Terrier Mix,,Brown/White,Adoption,Positive,Spayed,Female,280
84.0,Smooth Fox Terrier Mix,,Tricolor,Adoption,Positive,Spayed,Female,281
12.0,Skye Terrier,Miniature Poodle,White,Adoption,Positive,Neutered,Male,282
24.0,Silky Terrier Mix,,Brown/Gray,Adoption,Positive,Neutered,Male,283
48.0,Silky Terrier Mix,,Silver/Tan,Adoption,Positive,Spayed,Female,284
8.0,Siberian Husky,Labrador Retriever,Sable,Adoption,Positive,Neutered,Male,285
5.0,Siberian Husky,Labrador Retriever,White/Brown,Adoption,Positive,Neutered,Male,286
12.0,Siberian Husky,Labrador Retriever,Black/White,Adoption,Positive,Neutered,Male,287
12.0,Siberian Husky,Labrador Retriever,Black/Brown Brindle,Adoption,Positive,Neutered,Male,288
11.0,Siberian Husky,German Shepherd,Buff,Adoption,Positive,Neutered,Male,289
2.0,Siberian Husky,German Shepherd,Black/Tricolor,Adoption,Positive,Neutered,Male,290
12.0,Siberian Husky,German Shepherd,Red/White,Adoption,Positive,Neutered,Male,291
24.0,Siberian Husky,German Shepherd,Brown,Adoption,Positive,Neutered,Male,292
72.0,Siberian Husky,German Shepherd,Sable/White,Adoption,Positive,Neutered,Male,293
7.0,Siberian Husky,Catahoula,Brown Brindle,Adoption,Positive,Spayed,Female,294
24.0,Siberian Husky,Australian Shepherd,White/Brown,Adoption,Positive,Spayed,Female,295
36.0,Siberian Husky,Australian Cattle Dog,Tricolor,Adoption,Positive,Spayed,Female,296
10.0,Siberian Husky Mix,,White/Cream,Adoption,Positive,Neutered,Male,297
8.0,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male,298
10.0,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male,299
4.0,Siberian Husky Mix,,Gray/White,Adoption,Positive,Neutered,Male,300
10.0,Siberian Husky Mix,,Brown/Cream,Adoption,Positive,Neutered,Male,301
12.0,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male,302
12.0,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male,303
12.0,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male,304
12.0,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male,305
12.0,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male,306
12.0,Siberian Husky Mix,,Chocolate/Tan,Adoption,Positive,Neutered,Male,307
12.0,Siberian Husky Mix,,Gray/Brown,Adoption,Positive,Neutered,Male,308
12.0,Siberian Husky Mix,,White/Black,Adoption,Positive,Neutered,Male,309
12.0,Siberian Husky Mix,,Black/Tan,Adoption,Positive,Neutered,Male,310
12.0,Siberian Husky Mix,,White,Adoption,Positive,Neutered,Male,311
24.0,Siberian Husky Mix,,Gray/White,Adoption,Positive,Neutered,Male,312
36.0,Siberian Husky Mix,,Black/Brown,Adoption,Positive,Neutered,Male,313
48.0,Siberian Husky Mix,,White/Black,Adoption,Positive,Neutered,Male,314
72.0,Siberian Husky Mix,,White/Tan,Adoption,Positive,Neutered,Male,315
96.0,Siberian Husky Mix,,Brown/White,Adoption,Positive,Neutered,Male,316
24.0,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male,317
24.0,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male,318
72.0,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male,319
24.0,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male,320
60.0,Siberian Husky Mix,,Black/White,Adoption,Positive,Neutered,Male,321
60.0,Siberian Husky Mix,,Brown/Tan,Adoption,Positive,Neutered,Male,322
