,AgeuponOutcome,AnimalID,AnimalType,Breed,Color,DateTime,ID,Name,OutcomeSubtype,OutcomeType,SexuponOutcome
31,2 months,,Dog,Chihuahua Shorthair/Dachshund,Black/White,2015-01-31 11:36:00,32.0,Indiana,,,Spayed Female
35,1 year,,Dog,Australian Cattle Dog Mix,Red Merle/White,2014-03-24 12:15:00,36.0,Nick,,,Neutered Male
37,2 months,,Dog,Labrador Retriever Mix,Black/White,2015-12-26 17:30:00,38.0,Pongo,,,Neutered Male
38,4 years,,Dog,Miniature Poodle/Lhasa Apso,Tan,2015-12-30 15:57:00,39.0,Brittney,,,Spayed Female
39,1 year,,Dog,Border Terrier Mix,Gold,2014-02-06 14:19:00,40.0,,,,Neutered Male
40,9 months,,Dog,Beagle Mix,Tricolor,2015-10-31 16:02:00,41.0,Chaney,,,Intact Female
45,2 years,,Dog,Whippet/Rat Terrier,Tricolor,2014-02-24 14:57:00,46.0,,,,Spayed Female
47,2 years,,Dog,Pit Bull Mix,Brown Brindle/White,2015-11-14 15:52:00,48.0,Frisco,,,Neutered Male
48,4 years,,Dog,Japanese Chin Mix,White/Black,2015-07-27 13:06:00,49.0,Chica,,,Spayed Female
49,7 months,,Dog,Labrador Retriever/Doberman Pinsch,Chocolate,2015-05-08 15:01:00,50.0,Ire,,,Intact Male
51,9 years,,Dog,Black/Tan Hound Mix,Black/Brown,2014-07-27 11:26:00,52.0,Booch,,,Spayed Female
56,1 year,,Dog,Catahoula Mix,Brown/Tan,2016-01-27 17:51:00,57.0,Tizoc,,,Neutered Male
59,2 months,,Dog,Plott Hound/Labrador Retriever,Black,2015-09-09 13:55:00,60.0,Charlie,,,Neutered Male
60,2 years,,Dog,Labrador Retriever/American Foxhound,White/Red,2014-07-23 19:05:00,61.0,,,,Neutered Male
61,4 years,,Dog,Pit Bull Mix,Tan/White,2014-11-18 11:55:00,62.0,Yellow,,,Neutered Male
65,1 year,,Dog,Chihuahua Shorthair Mix,Black/Brown,2014-10-18 18:06:00,66.0,Bella,,,Spayed Female
67,12 years,,Dog,Chihuahua Shorthair Mix,Black/Tan,2014-06-26 12:11:00,68.0,Peanut,,,Intact Female
68,2 years,,Dog,Boxer Mix,Blue/White,2014-06-04 17:09:00,69.0,Boris,,,Neutered Male
70,3 months,,Dog,Anatol Shepherd/Labrador Retriever,White/Tan,2016-01-20 13:29:00,71.0,,,,Intact Female
71,2 months,,Dog,Cardigan Welsh Corgi Mix,Brown/White,2015-02-21 17:58:00,72.0,Olive,,,Spayed Female
73,2 years,,Dog,Chihuahua Shorthair Mix,Brown,2013-10-09 12:48:00,74.0,Rocky,,,Neutered Male
78,3 years,,Dog,Pug/Italian Greyhound,Chocolate,2014-08-04 14:13:00,79.0,Oreo,,,Spayed Female
82,1 year,,Dog,Blue Lacy Mix,Blue/White,2015-02-15 17:30:00,83.0,King,,,Neutered Male
84,6 years,,Dog,English Foxhound Mix,Tricolor,2014-10-23 19:12:00,85.0,Bandit,,,Neutered Male
86,2 years,,Dog,Pit Bull Mix,Brown/White,2014-03-14 18:39:00,87.0,Abby,,,Intact Female
87,1 year,,Dog,Pit Bull Mix,Black Brindle,2015-04-02 15:25:00,88.0,French Fry,,,Spayed Female
93,3 years,,Dog,Chihuahua Shorthair Mix,Black,2014-05-24 15:30:00,94.0,Kiko,,,Neutered Male
95,2 years,,Dog,Jack Russell Terrier Mix,Tricolor,2014-06-01 19:19:00,96.0,Marty,,,Neutered Male
96,3 years,,Dog,Labrador Retriever Mix,White,2015-10-25 15:05:00,97.0,Sonora,,,Spayed Female
99,3 years,,Dog,Beagle Mix,Sable,2014-10-21 16:23:00,100.0,Sophie,,,Spayed Female
102,2 years,,Dog,Great Pyrenees,White,2013-12-07 11:56:00,103.0,Chester,,,Neutered Male
103,1 year,,Dog,Labrador Retriever Mix,Yellow/White,2015-12-04 13:40:00,104.0,Skippy,,,Neutered Male
105,1 year,,Dog,Labrador Retriever Mix,Black,2014-01-05 15:24:00,106.0,Huck,,,Neutered Male
106,3 years,,Dog,Miniature Poodle/Cairn Terrier,White,2014-09-01 17:37:00,107.0,Moondog,,,Neutered Male
107,3 years,,Dog,Yorkshire Terrier Mix,Brown/Black,2015-12-19 15:41:00,108.0,Augie,,,Intact Female
110,4 years,,Dog,Beagle Mix,Brown/Black,2015-11-15 16:08:00,111.0,Che,,,Spayed Female
111,1 year,,Dog,Pit Bull Mix,Brown Brindle/White,2015-04-19 15:33:00,112.0,Chico,,,Neutered Male
112,8 years,,Dog,Cocker Spaniel/Shetland Sheepdog,Tan,2016-01-26 12:13:00,113.0,Romen,,,Neutered Male
113,3 years,,Dog,German Shepherd Mix,White,2015-11-24 13:45:00,114.0,London,,,Neutered Male
115,8 months,,Dog,Chihuahua Shorthair Mix,Red,2015-08-30 12:03:00,116.0,Loco,,,Neutered Male
116,10 months,,Dog,Australian Kelpie Mix,Tan,2015-02-14 17:13:00,117.0,Goldie,,,Spayed Female
117,5 years,,Dog,Boxer,Brown Brindle/White,2014-07-23 13:16:00,118.0,Chunk,,,Intact Male
118,13 years,,Dog,Pekingese,Yellow/Tan,2013-10-31 11:43:00,119.0,Randee,,,Neutered Male
124,4 weeks,,Dog,German Shepherd/Boxer,Sable,2014-01-16 17:50:00,125.0,,,,Intact Male
125,1 month,,Dog,Labrador Retriever/German Shepherd,Sable/White,2015-04-25 17:54:00,126.0,Sammy,,,Neutered Male
130,2 years,,Dog,Australian Shepherd Mix,Tricolor,2015-04-13 17:22:00,131.0,Dylan,,,Neutered Male
133,2 years,,Dog,Chihuahua Shorthair,Tricolor,2015-05-28 11:24:00,134.0,Pearl,,,Spayed Female
135,2 years,,Dog,Siberian Husky Mix,Red/White,2014-11-05 18:33:00,136.0,Rajah,,,Spayed Female
138,8 years,,Dog,Labrador Retriever/Basset Hound,Brown/White,2015-05-02 13:00:00,139.0,Priscilla,,,Spayed Female
139,2 years,,Dog,Pharaoh Hound Mix,Brown/White,2015-12-27 00:00:00,140.0,Jimmy,,,Neutered Male
140,10 months,,Dog,Chihuahua Shorthair Mix,Brown,2015-10-30 16:31:00,141.0,Wanda,,,Spayed Female
142,6 years,,Dog,Catahoula Mix,Brown Merle,2014-07-23 13:07:00,143.0,Riley,,,Spayed Female
143,8 years,,Dog,Shetland Sheepdog Mix,Black,2015-07-06 14:55:00,144.0,Jessica,,,Spayed Female
144,1 year,,Dog,Pit Bull Mix,Brown Brindle/White,2015-02-12 11:01:00,145.0,Diesel,,,Spayed Female
145,5 years,,Dog,Pit Bull Mix,Black Brindle/White,2015-10-27 13:30:00,146.0,Molly,,,Spayed Female
147,7 years,,Dog,Miniature Pinscher Mix,Black/Brown,2014-11-12 18:37:00,148.0,Maximillion,,,Neutered Male
152,5 months,,Dog,Labrador Retriever Mix,Black,2015-05-27 14:19:00,153.0,Suzie,,,Spayed Female
153,2 years,,Dog,Chihuahua Shorthair Mix,Tan/White,2014-01-23 14:45:00,154.0,James,,,Intact Male
154,3 months,,Dog,Plott Hound Mix,Brown Brindle,2015-06-09 16:51:00,155.0,,,,Spayed Female
155,4 months,,Dog,Chihuahua Shorthair/Dachshund,White/Black,2014-01-22 17:41:00,156.0,Mcnugget,,,Spayed Female
156,5 years,,Dog,Labrador Retriever Mix,Black/White,2015-12-17 14:50:00,157.0,Koda,,,Neutered Male
159,2 years,,Dog,Scottish Terrier Mix,Cream,2015-05-16 12:29:00,160.0,Tiny,,,Neutered Male
160,2 years,,Dog,Chihuahua Shorthair/Boston Terrier,Sable/White,2014-09-08 16:01:00,161.0,Daisy,,,Spayed Female
161,1 year,,Dog,Chihuahua Longhair/Dachshund,Blue/Tan,2014-08-13 14:44:00,162.0,Cody,,,Neutered Male
162,6 days,,Dog,Labrador Retriever Mix,Brown,2015-03-06 09:50:00,163.0,,,,Unknown
164,3 years,,Dog,Boxer/Anatol Shepherd,Red/White,2015-10-19 12:07:00,165.0,Buddy,,,Neutered Male
166,1 year,,Dog,Pit Bull,Brown Brindle/White,2015-04-18 16:52:00,167.0,Tiger,,,Neutered Male
167,2 years,,Dog,Pharaoh Hound Mix,Brown/White,2014-06-07 12:07:00,168.0,Tovah,,,Spayed Female
168,7 months,,Dog,Labrador Retriever/Golden Retriever,Yellow,2015-01-14 19:18:00,169.0,Gizmo,,,Neutered Male
169,2 months,,Dog,Chihuahua Shorthair Mix,Brown,2015-05-27 14:20:00,170.0,Mack,,,Neutered Male
171,2 years,,Dog,Chihuahua Shorthair Mix,Tan/White,2015-10-05 16:23:00,172.0,Ellie Mae,,,Spayed Female
172,4 years,,Dog,Pit Bull Mix,Brown Brindle,2013-12-12 18:53:00,173.0,Ruca,,,Spayed Female
173,5 years,,Dog,Pit Bull Mix,Brown Brindle,2014-05-27 12:44:00,174.0,Mamma Dog,,,Spayed Female
174,2 years,,Dog,Norwich Terrier Mix,Tan,2014-01-08 17:57:00,175.0,Fluffy,,,Neutered Male
176,10 years,,Dog,Chihuahua Shorthair Mix,Tan/White,2015-01-08 15:39:00,177.0,Tooth,,,Neutered Male
178,3 years,,Dog,Cocker Spaniel Mix,Buff/White,2015-05-10 17:36:00,179.0,,,,Spayed Female
179,8 months,,Dog,Collie Smooth/Boxer,White/Brown Brindle,2014-06-07 17:10:00,180.0,,,,Intact Female
182,1 year,,Dog,Chihuahua Shorthair Mix,Tan/White,2015-02-23 12:11:00,183.0,Claude,,,Neutered Male
183,1 year,,Dog,Dachshund,Red,2014-07-02 16:43:00,184.0,Pollyanna,,,Intact Female
184,3 years,,Dog,Chihuahua Shorthair Mix,Brown/White,2015-12-19 17:57:00,185.0,Yaya,,,Spayed Female
185,4 years,,Dog,Alaskan Malamute,Gray/White,2015-02-07 11:35:00,186.0,Denali,,,Spayed Female
187,2 years,,Dog,Miniature Poodle Mix,White,2014-05-29 12:38:00,188.0,Princess,,,Spayed Female
188,3 months,,Dog,Labrador Retriever/German Shepherd,Chocolate/White,2013-11-19 14:47:00,189.0,Cocoa,,,Spayed Female
189,2 months,,Dog,Labrador Retriever/Pit Bull,Tan,2014-02-24 18:38:00,190.0,Elli,,,Spayed Female
190,5 years,,Dog,Dachshund Mix,Brown,2015-05-19 19:03:00,191.0,Maypearl,,,Spayed Female
191,3 years,,Dog,American Staffordshire Terrier Mix,Brown Brindle/White,2014-03-01 13:08:00,192.0,Moonbeam,,,Spayed Female
192,5 months,,Dog,Australian Cattle Dog Mix,Blue Merle,2014-04-05 15:24:00,193.0,Sydney,,,Intact Female
193,1 year,,Dog,Dachshund Mix,Black,2015-05-05 14:09:00,194.0,,,,Neutered Male
194,2 months,,Dog,Carolina Dog Mix,Tan/White,2015-12-06 15:21:00,195.0,Sofie,,,Spayed Female
196,1 year,,Dog,German Shepherd/Labrador Retriever,Black/Brown,2015-05-01 18:26:00,197.0,Tera,,,Spayed Female
197,1 year,,Dog,Pit Bull Mix,Blue/White,2015-03-01 17:58:00,198.0,Obie,,,Neutered Male
198,4 years,,Dog,Catahoula/Boxer,Black/White,2015-03-06 12:28:00,199.0,Princess,,,Spayed Female
199,1 year,,Dog,Akita Mix,Sable,2014-09-13 12:02:00,200.0,Cody,,,Neutered Male
202,9 months,,Dog,Labrador Retriever Mix,Black/White,2014-10-20 18:33:00,203.0,Moctezuma,,,Neutered Male
203,2 years,,Dog,Chihuahua Longhair/Pekingese,Tricolor,2014-11-01 18:46:00,204.0,,,,Spayed Female
204,2 years,,Dog,Chihuahua Shorthair Mix,Tan,2015-10-09 19:02:00,205.0,Oso,,,Intact Male
206,1 year,,Dog,Rottweiler/Labrador Retriever,Black/Tan,2014-12-04 17:29:00,207.0,Rocco,,,Neutered Male
207,8 years,,Dog,Chihuahua Shorthair Mix,Black/White,2014-07-21 19:08:00,208.0,Tootie,,,Intact Female
208,2 years,,Dog,Chesa Bay Retr Mix,Chocolate,2015-06-29 12:59:00,209.0,Cooper,,,Neutered Male
209,2 years,,Dog,Chihuahua Shorthair/Pembroke Welsh Corgi,Black/Tricolor,2015-01-16 18:59:00,210.0,T-Bone,,,Neutered Male
211,8 years,,Dog,Shih Tzu Mix,Black/White,2015-06-29 12:41:00,212.0,Izzy,,,Neutered Male
212,3 years,,Dog,Rat Terrier Mix,Black/White,2013-10-12 17:47:00,213.0,Scrappy,,,Neutered Male
213,1 year,,Dog,Australian Cattle Dog Mix,Red Merle,2013-10-21 17:46:00,214.0,,,,Spayed Female
215,4 years,,Dog,Dachshund Mix,Black/Tan,2015-09-30 18:30:00,216.0,,,,Spayed Female
218,1 year,,Dog,Cairn Terrier Mix,Brown,2014-08-07 14:06:00,219.0,Mango,,,Neutered Male
219,9 years,,Dog,Miniature Poodle Mix,White/Buff,2014-11-24 13:16:00,220.0,Sassy,,,Spayed Female
220,2 years,,Dog,Rottweiler,Black/Brown,2015-08-19 11:02:00,221.0,Crystal,,,Intact Female
223,1 year,,Dog,Boxer Mix,Brown/White,2016-01-13 17:30:00,224.0,Talloulah,,,Spayed Female
224,17 years,,Dog,Chihuahua Shorthair Mix,Brown,2013-12-26 19:26:00,225.0,Napoleon,,,Intact Male
225,2 years,,Dog,Cardigan Welsh Corgi/Chihuahua Shorthair,Brown/White,2015-02-27 15:35:00,226.0,Mocha,,,Spayed Female
227,6 days,,Dog,Chihuahua Shorthair/Pit Bull,White,2015-06-04 18:53:00,228.0,,,,Unknown
228,2 years,,Dog,American Pit Bull Terrier Mix,White/Blue,2015-08-01 12:09:00,229.0,Choppa,,,Neutered Male
231,1 month,,Dog,Carolina Dog Mix,Sable/Brown,2014-12-18 17:37:00,232.0,Chloe,,,Spayed Female
233,4 years,,Dog,Boxer/Pit Bull,Tan/White,2014-01-16 17:49:00,234.0,Gracie,,,Intact Female
234,5 years,,Dog,Golden Retriever/Chow Chow,Brown/Black,2014-06-02 18:20:00,235.0,Printer,,,Neutered Male
236,3 years,,Dog,Chihuahua Shorthair Mix,White/Brown,2014-07-05 12:12:00,237.0,Peeve,,,Neutered Male
237,2 months,,Dog,St. Bernard Rough Coat Mix,Tan/White,2014-02-06 13:30:00,238.0,,,,Intact Female
238,1 year,,Dog,Chihuahua Longhair Mix,White/Brown,2015-01-18 18:22:00,239.0,Maggie,,,Spayed Female
240,2 months,,Dog,Labrador Retriever Mix,Chocolate/White,2013-12-19 18:09:00,241.0,,,,Neutered Male
241,6 years,,Dog,Chihuahua Shorthair Mix,White/Tan,2014-06-26 12:11:00,242.0,Popcorn,,,Spayed Female
244,2 years,,Dog,Labrador Retriever Mix,Tan/White,2015-09-02 15:10:00,245.0,Barney,,,Neutered Male
245,7 years,,Dog,Boxer Mix,Brown/White,2014-01-13 16:15:00,246.0,Travis,,,Neutered Male
248,3 years,,Dog,Labrador Retriever Mix,Yellow,2015-04-28 14:05:00,249.0,Trigger,,,Neutered Male
250,2 weeks,,Dog,Pit Bull Mix,Black/White,2015-01-08 12:39:00,251.0,,,,Intact Female
251,4 years,,Dog,American Bulldog Mix,White/Black,2015-12-17 17:01:00,252.0,Biff,,,Neutered Male
253,5 years,,Dog,Pit Bull Mix,Brown/White,2015-11-30 16:02:00,254.0,Bjorn,,,Neutered Male
255,2 years,,Dog,Norfolk Terrier Mix,Buff,2015-12-16 12:36:00,256.0,Pea Body,,,Spayed Female
256,5 years,,Dog,Chihuahua Shorthair Mix,Brown/Tan,2013-12-04 12:44:00,257.0,,,,Neutered Male
258,9 years,,Dog,Smooth Fox Terrier Mix,Tan/White,2015-07-15 11:53:00,259.0,Tuffy,,,Neutered Male
259,1 month,,Dog,Dachshund Mix,White/Black,2015-11-13 17:13:00,260.0,,,,Neutered Male
260,2 months,,Dog,Miniature Pinscher Mix,Black/Tan,2015-10-07 11:34:00,261.0,Trooper,,,Neutered Male
261,1 year,,Dog,Pit Bull Mix,Black/White,2015-10-18 15:03:00,262.0,Libby,,,Spayed Female
262,4 months,,Dog,Labrador Retriever Mix,Yellow,2014-05-26 17:19:00,263.0,Mae,,,Spayed Female
263,2 years,,Dog,Australian Cattle Dog/Dachshund,Red Merle/White,2015-01-13 12:05:00,264.0,Jak,,,Neutered Male
264,5 years,,Dog,Chihuahua Shorthair Mix,Red/White,2013-12-14 12:31:00,265.0,Molly,,,Spayed Female
266,3 months,,Dog,Chihuahua Shorthair Mix,Tan/White,2014-10-24 15:07:00,267.0,,,,Intact Male
272,1 year,,Dog,Basenji Mix,Brown/Black,2015-12-19 15:47:00,273.0,Albrecht,,,Intact Male
273,8 years,,Dog,Pomeranian,Brown,2014-11-12 16:58:00,274.0,,,,Neutered Male
280,3 years,,Dog,Labrador Retriever Mix,Black,2014-02-16 14:42:00,281.0,Piper,,,Spayed Female
281,6 years,,Dog,American Bulldog,Blue/White,2015-12-08 13:56:00,282.0,Jack,,,Neutered Male
282,3 months,,Dog,Australian Kelpie Mix,Black/Tan,2015-09-09 13:56:00,283.0,,,,Intact Female
284,5 years,,Dog,Pit Bull Mix,Brown/Brown Brindle,2014-08-06 11:16:00,285.0,Dikembe,,,Neutered Male
285,2 years,,Dog,Basset Hound/Labrador Retriever,Brown/White,2015-02-13 15:12:00,286.0,Rufus,,,Neutered Male
288,1 year,,Dog,Chihuahua Shorthair Mix,Brown,2014-02-25 16:39:00,289.0,Cassandra,,,Spayed Female
289,3 years,,Dog,Flat Coat Retriever Mix,Black/White,2014-05-04 14:59:00,290.0,Chocolate,,,Neutered Male
294,6 years,,Dog,Pit Bull Mix,Brown/White,2015-04-06 18:54:00,295.0,Zimba,,,Neutered Male
295,3 months,,Dog,Australian Shepherd Mix,Black/White,2015-03-25 15:58:00,296.0,,,,Intact Female
296,2 years,,Dog,Doberman Pinsch Mix,Black/Tan,2014-03-19 16:58:00,297.0,Spike,,,Neutered Male
297,1 year,,Dog,Basenji/Chihuahua Shorthair,Red/White,2014-01-24 14:27:00,298.0,,,,Intact Male
298,2 years,,Dog,Labrador Retriever/Collie Smooth,Tan/White,2013-10-12 16:01:00,299.0,Hanna,,,Spayed Female
300,2 years,,Dog,Pit Bull Mix,Brown/White,2015-01-15 19:07:00,301.0,Plex,,,Neutered Male
303,2 years,,Dog,Border Collie Mix,Black/White,2013-10-16 14:20:00,304.0,Wednesday,,,Spayed Female
304,2 years,,Dog,Chihuahua Shorthair Mix,Tan,2015-06-05 15:41:00,305.0,,,,Intact Male
305,13 years,,Dog,Rottweiler/Chow Chow,Brown/Black,2014-09-06 18:52:00,306.0,Bandit,,,Neutered Male
308,7 months,,Dog,Labrador Retriever Mix,Black/White,2016-02-20 21:16:00,309.0,Gina,,,Spayed Female
313,4 years,,Dog,Labrador Retriever Mix,Black,2015-04-03 14:15:00,314.0,Coco,,,Spayed Female
315,4 years,,Dog,Miniature Schnauzer Mix,Silver/Tan,2015-06-28 17:46:00,316.0,Katniss,,,Spayed Female
316,6 years,,Dog,Dachshund,Brown,2014-09-01 18:14:00,317.0,Mia,,,Spayed Female
317,10 months,,Dog,German Shepherd Mix,Black,2014-08-13 17:19:00,318.0,,,,Neutered Male
319,2 years,,Dog,Staffordshire Mix,Tan/White,2015-11-20 18:04:00,320.0,Dallas,,,Neutered Male
326,2 months,,Dog,Dachshund Longhair/Chihuahua Shorthair,Tricolor,2014-12-30 11:37:00,327.0,Remulade,,,Neutered Male
327,3 years,,Dog,Chihuahua Longhair/Rat Terrier,White/Brown,2014-03-06 16:09:00,328.0,Brownie,,,Neutered Male
328,6 months,,Dog,Australian Kelpie Mix,Yellow Brindle,2014-06-02 17:31:00,329.0,Tiger,,,Neutered Male
329,2 years,,Dog,Great Pyrenees,White,2014-08-02 12:04:00,330.0,Puppy,,,Intact Female
330,12 years,,Dog,Australian Shepherd Mix,Tricolor,2014-09-01 13:10:00,331.0,Maddie,,,Spayed Female
333,2 months,,Dog,Labrador Retriever Mix,Black/Tan,2016-01-07 12:44:00,334.0,,,,Neutered Male
334,3 months,,Dog,Chihuahua Shorthair Mix,White/Brown,2015-06-29 14:42:00,335.0,,,,Intact Male
337,1 year,,Dog,Labrador Retriever/Pit Bull,Chocolate,2013-10-11 11:35:00,338.0,Ray Ray,,,Neutered Male
338,6 months,,Dog,Beagle Mix,Tan/White,2013-11-25 18:38:00,339.0,,,,Intact Male
339,2 years,,Dog,Pit Bull Mix,Tan/White,2014-01-16 17:26:00,340.0,Zaih,,,Spayed Female
342,5 years,,Dog,Chihuahua Shorthair Mix,Chocolate/White,2015-02-05 12:57:00,343.0,,,,Intact Male
343,10 months,,Dog,Catahoula Mix,Yellow Brindle,2014-04-19 17:43:00,344.0,Claude,,,Neutered Male
345,2 years,,Dog,Boxer/Cardigan Welsh Corgi,Tricolor,2014-05-02 16:56:00,346.0,Oakley,,,Neutered Male
346,6 years,,Dog,Golden Retriever Mix,Gold,2013-11-10 14:56:00,347.0,Marley,,,Neutered Male
348,12 years,,Dog,Boston Terrier,Black/White,2015-12-17 15:26:00,349.0,Boxx,,,Neutered Male
349,2 years,,Dog,American Bulldog/Blue Lacy,White/Black,2014-04-08 10:12:00,350.0,Robbie,,,Neutered Male
350,6 months,,Dog,Beauceron,Black/Tan,2014-05-23 17:37:00,351.0,Hera,,,Spayed Female
352,6 years,,Dog,Chinese Sharpei Mix,Brown,2014-05-08 18:20:00,353.0,Rocky,,,Neutered Male
354,1 year,,Dog,Chihuahua Shorthair Mix,Tan/White,2014-09-07 12:39:00,355.0,Gordo,,,Neutered Male
356,7 months,,Dog,Pit Bull Mix,Blue,2014-04-01 12:27:00,357.0,,,,Neutered Male
357,4 months,,Dog,German Shepherd Mix,Brown,2014-05-24 12:38:00,358.0,,,,Neutered Male
359,4 months,,Dog,Plott Hound Mix,Brown Brindle/White,2013-11-30 15:57:00,360.0,,,,Neutered Male
361,1 year,,Dog,Shih Tzu Mix,Buff,2014-11-25 15:04:00,362.0,Peanut Butte,,,Intact Male
362,9 years,,Dog,Labrador Retriever Mix,Red,2014-05-23 13:44:00,363.0,Binga,,,Spayed Female
366,8 months,,Dog,Boston Terrier,Brown Brindle/White,2014-08-13 16:34:00,367.0,,,,Spayed Female
367,12 years,,Dog,Yorkshire Terrier Mix,Blue/Tan,2014-12-10 19:22:00,368.0,,,,Intact Female
369,1 year,,Dog,Catahoula/Pit Bull,Tricolor/Blue,2013-11-23 16:21:00,370.0,,,,Spayed Female
370,1 year,,Dog,Pit Bull Mix,Brown/White,2014-12-26 12:46:00,371.0,Prada,,,Spayed Female
371,1 year,,Dog,Miniature Schnauzer/Border Terrier,Black/Tan,2015-03-23 18:27:00,372.0,,,,Neutered Male
373,9 years,,Dog,Labrador Retriever Mix,Red,2014-02-05 14:26:00,374.0,Scooby,,,Neutered Male
375,7 years,,Dog,Chihuahua Shorthair Mix,Brown,2015-06-25 17:24:00,376.0,Coco,,,Spayed Female
376,1 year,,Dog,Pit Bull Mix,White/Black,2014-12-04 14:40:00,377.0,King,,,Neutered Male
377,1 year,,Dog,Dutch Shepherd Mix,Brown Brindle,2015-06-20 18:03:00,378.0,Memphis,,,Spayed Female
378,1 year,,Dog,Finnish Spitz Mix,Sable,2015-10-13 13:49:00,379.0,Wylie,,,Spayed Female
384,8 years,,Dog,Chihuahua Shorthair Mix,Sable,2015-09-26 12:49:00,385.0,Glory,,,Spayed Female
385,7 years,,Dog,Plott Hound/Labrador Retriever,Brown Brindle,2015-04-10 11:23:00,386.0,Reese,,,Neutered Male
387,7 months,,Dog,Golden Retriever/Border Collie,Gold/Cream,2015-07-12 17:37:00,388.0,Jake,,,Neutered Male
390,13 years,,Dog,Labrador Retriever Mix,Black,2013-10-31 17:14:00,391.0,Nala,,,Intact Female
393,1 month,,Dog,Miniature Poodle Mix,Black/White,2014-07-23 16:02:00,394.0,,,,Intact Male
394,2 years,,Dog,Labrador Retriever/Mastiff,Brown/White,2014-04-10 11:29:00,395.0,Akhom,,,Neutered Male
395,11 years,,Dog,Chihuahua Shorthair,Black/Tan,2014-05-21 17:39:00,396.0,Junior,,,Neutered Male
396,1 year,,Dog,Pit Bull Mix,Fawn/White,2015-05-28 16:35:00,397.0,Simba,,,Intact Male
398,8 months,,Dog,Labrador Retriever Mix,White,2014-04-29 17:08:00,399.0,Star,,,Spayed Female
399,2 months,,Dog,Maltese,White,2014-03-18 08:54:00,400.0,Blue,,,Neutered Male
401,9 months,,Dog,American Foxhound Mix,Brown/White,2014-02-16 14:26:00,402.0,Jake,,,Neutered Male
402,1 year,,Dog,Chihuahua Shorthair Mix,Black,2014-04-28 18:56:00,403.0,Daisy,,,Spayed Female
405,3 years,,Dog,Tibetan Spaniel Mix,Brown/Black,2015-05-14 16:26:00,406.0,Chewy,,,Neutered Male
407,12 years,,Dog,Collie Rough Mix,Red,2014-02-14 11:44:00,408.0,Valentine,,,Spayed Female
408,3 months,,Dog,Chihuahua Shorthair Mix,Brown/White,2014-08-03 17:57:00,409.0,Yuki,,,Spayed Female
410,1 year,,Dog,Whippet Mix,Black/White,2016-02-20 17:26:00,411.0,Rosey,,,Intact Female
412,1 year,,Dog,American Staffordshire Terrier,Black/White,2015-05-12 16:32:00,413.0,Howie,,,Neutered Male
414,8 years,,Dog,German Shepherd Mix,Tan/Black,2014-01-29 14:10:00,415.0,Lassie,,,Spayed Female
416,3 years,,Dog,Scottish Terrier Mix,Black/White,2013-12-22 18:09:00,417.0,Rockstar,,,Spayed Female
