,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
108,A674577,Santiago,2014-03-23 18:43:00,Adoption,,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
109,A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
110,A672410,Myles,2014-02-11 18:16:00,Return_to_owner,,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
111,A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
112,A663339,Abby,2013-10-20 16:37:00,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
114,A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
116,A674233,Missy,2014-03-22 15:38:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
117,A713392,Basil,2015-11-05 00:00:00,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
119,A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
120,A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,,Dog,Neutered Male,5 years,Dachshund Mix,Black
121,A679259,Pablo,2014-05-26 11:22:00,Adoption,,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
122,A688223,,2014-09-21 14:15:00,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
125,A674530,Jackson,2014-09-11 17:03:00,Adoption,,Dog,Neutered Male,5 years,Pit Bull,Black
126,A718604,Watson,2016-01-31 17:22:00,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
128,A699094,Levon,2015-03-22 18:40:00,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
129,A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
130,A662685,Lola,2015-10-22 17:18:00,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
132,A707781,Pearl,2016-01-15 14:03:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
133,A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
134,A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
136,A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
139,A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
144,A714494,Amarillo,2015-11-01 19:11:00,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
146,A688720,,2014-09-26 18:09:00,Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Tan
147,A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
151,A702014,Diamond,2015-11-14 13:30:00,Adoption,,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
152,A673626,,2014-03-03 16:58:00,Transfer,Partner,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
153,A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
154,A685180,Neville,2014-09-27 12:25:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red
155,A707442,Conrad,2015-08-15 11:32:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
157,A685452,,2014-08-11 15:17:00,Transfer,Partner,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
160,A705924,Nero,2015-07-29 15:41:00,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
163,A716760,Dasher,2015-12-06 17:08:00,Adoption,,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
164,A709048,Libby,2015-08-08 17:58:00,Adoption,,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
165,A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,,Dog,Spayed Female,8 years,Maltese,White
168,A720668,,2016-02-15 18:30:00,Return_to_owner,,Dog,Spayed Female,5 months,Labrador Retriever Mix,White
171,A708769,Keyla,2015-08-01 11:54:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
172,A681462,Samson,2014-08-10 16:25:00,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown
174,A701153,,2015-06-25 09:31:00,Adoption,Foster,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor
177,A700707,Sallie,2015-04-20 14:41:00,Adoption,,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle
178,A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan
180,A715729,Milo,2015-11-09 13:24:00,Return_to_owner,,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
181,A716575,Scarlet,2015-12-22 00:00:00,Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White
182,A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,,Dog,Spayed Female,1 year,Pointer Mix,White/Black
183,A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
186,A701999,Luna,2015-05-12 17:39:00,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver
188,A698066,Diva,2015-03-07 12:50:00,Transfer,Partner,Dog,Spayed Female,4 years,German Shepherd Mix,White
190,A699715,Ashley,2015-05-13 11:51:00,Transfer,Partner,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan
191,A702246,,2015-05-15 17:47:00,Adoption,,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White
192,A711918,Jaqueline,2015-09-19 14:33:00,Adoption,,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
194,A677577,Roxie,2014-05-01 16:12:00,Adoption,,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
196,A713754,Harper,2015-10-27 16:44:00,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle
197,A703631,Hanley,2015-07-03 18:50:00,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
198,A676209,Boomer,2014-07-24 15:02:00,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
199,A667508,Brownie,2013-11-19 18:30:00,Return_to_owner,,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan
201,A676056,Swisha,2014-04-10 10:13:00,Return_to_owner,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
202,A667963,,2013-11-30 18:48:00,Adoption,,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White
204,A672065,Dutchess,2014-04-08 12:50:00,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
205,A688852,Buddy,2014-10-18 18:48:00,Adoption,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
207,A670949,Cassie,2014-02-01 11:13:00,Return_to_owner,,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor
210,A690480,,2014-10-22 17:46:00,Transfer,Partner,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White
211,A691636,Dali,2014-11-13 16:07:00,Adoption,,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown
212,A678482,,2014-05-14 19:15:00,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
213,A687785,Bella,2014-12-30 09:38:00,Adoption,Foster,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White
214,A716839,Dino,2015-11-27 14:06:00,Return_to_owner,,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White
215,A718547,,2016-01-11 14:23:00,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
217,A694408,Emma,2015-05-28 13:14:00,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White
220,A675549,Marco,2014-04-08 15:29:00,Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
223,A719876,Oreo,2016-02-02 15:58:00,Transfer,Partner,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
224,A676626,Pia,2014-05-30 16:54:00,Adoption,Foster,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White
225,A666478,Bleu,2013-11-04 17:51:00,Adoption,,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White
226,A683507,,2014-07-15 17:26:00,Adoption,,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff
227,A487470,Midnight,2014-01-20 18:40:00,Euthanasia,Aggressive,Dog,Neutered Male,9 years,Labrador Retriever/Pit Bull,Black
229,A668260,,2013-12-02 14:10:00,Transfer,Partner,Dog,Spayed Female,5 years,Great Dane,Black/White
230,A716964,Rello,2015-11-29 18:11:00,Return_to_owner,,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/White
231,A701029,Bode,2015-05-01 11:04:00,Return_to_owner,,Dog,Neutered Male,2 years,Chesa Bay Retr,Brown
232,A668506,Jake,2015-11-03 16:40:00,Return_to_owner,,Dog,Neutered Male,7 years,German Shepherd,Brown/Black
236,A701898,Anita,2015-05-10 18:38:00,Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/Black
238,A691605,Daisy,2014-11-08 14:41:00,Return_to_owner,,Dog,Spayed Female,6 years,Plott Hound Mix,Brown Brindle
240,A705111,Kiki,2015-06-24 15:25:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Black
243,A715741,Simba,2015-11-19 18:45:00,Adoption,,Dog,Neutered Male,3 years,Chow Chow Mix,Red
245,A668122,,2013-12-01 17:58:00,Adoption,,Dog,Spayed Female,7 years,English Pointer,Liver/White
247,A664842,June,2013-11-09 19:21:00,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
248,A709067,Earlene,2015-08-05 00:00:00,Return_to_owner,,Dog,Intact Female,5 months,Boxer Mix,Black/White
249,A608918,Vader,2015-06-02 11:56:00,Transfer,Partner,Dog,Neutered Male,4 years,Basset Hound/Labrador Retriever,Black/White
250,A651596,Brownie,2014-03-06 17:13:00,Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Buff
251,A720190,Little Missy,2016-02-07 00:00:00,Transfer,Partner,Dog,Spayed Female,7 years,Airedale Terrier Mix,Tricolor
252,A676609,Buddy,2014-07-06 12:46:00,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Chow Chow,Brown
254,A693272,Kodiak,2015-01-31 13:33:00,Adoption,,Dog,Neutered Male,1 month,Beagle/German Shepherd,Black/Brown
257,A672758,Daisy,2014-07-16 13:48:00,Transfer,Partner,Dog,Spayed Female,4 years,Chihuahua Shorthair/Rat Terrier,Tan/White
258,A658690,Priscilla,2013-10-19 12:58:00,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
259,A708390,Stella,2015-08-02 18:49:00,Adoption,,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black/White
260,A703383,Dharma,2015-05-28 15:25:00,Transfer,Partner,Dog,Spayed Female,10 years,Cocker Spaniel,Buff
262,A699816,Pebbles,2015-04-11 18:01:00,Adoption,,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Tan
264,A625690,Rainey,2014-07-21 11:09:00,Return_to_owner,,Dog,Spayed Female,7 years,Rat Terrier Mix,White/Black
265,A686406,,2014-08-25 17:12:00,Adoption,,Dog,Neutered Male,1 year,Border Terrier/Chihuahua Shorthair,Tan/Black
266,A710318,Tank,2015-09-17 13:48:00,Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White
267,A698972,Kiki,2015-03-23 17:50:00,Return_to_owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/Gray
269,A683309,,2014-07-17 18:06:00,Euthanasia,Behavior,Dog,Spayed Female,7 years,Pit Bull Mix,Tan/White
270,A640316,Kato,2013-10-02 17:43:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Black
271,A682760,Jasper,2014-07-10 12:48:00,Adoption,,Dog,Neutered Male,1 year,Jack Russell Terrier/Dachshund,White/Brown
274,A588218,Roger,2014-12-03 14:24:00,Return_to_owner,,Dog,Neutered Male,5 years,German Shepherd,Black/Brown
275,A669795,Roxi,2014-08-11 11:12:00,Return_to_owner,,Dog,Spayed Female,2 years,Rottweiler Mix,Black/Tan
276,A674448,Hedwig,2014-03-18 17:04:00,Adoption,,Dog,Neutered Male,10 months,Siberian Husky Mix,White/Cream
278,A672467,Apollo,2014-02-14 18:59:00,Adoption,,Dog,Neutered Male,9 months,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White
282,A720860,,2016-02-20 21:16:00,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Chocolate/White
283,A701337,,2015-04-30 14:43:00,Transfer,Partner,Dog,Intact Male,1 year,Cairn Terrier Mix,Cream
286,A699819,Coco,2015-04-06 15:37:00,Return_to_owner,,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Chocolate/White
287,A674638,Sam,2014-03-16 10:48:00,Return_to_owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Chocolate
288,A718743,Newton,2016-01-10 11:36:00,Adoption,,Dog,Neutered Male,2 years,Shih Tzu,Gray/White
289,A714820,Lizzie,2015-11-05 00:00:00,Transfer,Partner,Dog,Spayed Female,6 months,Plott Hound Mix,Brown Brindle
290,A667613,Orion,2014-01-13 15:18:00,Adoption,,Dog,Neutered Male,11 months,Australian Shepherd Mix,Tan/White
291,A696059,Chewy,2015-02-05 14:28:00,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White
293,A676494,Jimmy,2014-04-27 15:11:00,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Border Collie,Black/White
295,A599155,Machete,2015-03-28 19:25:00,Euthanasia,Suffering,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
298,A691345,Jelly Bean,2014-11-09 14:47:00,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Brown/White
300,A674659,,2014-03-21 17:10:00,Euthanasia,Aggressive,Dog,Intact Male,2 years,Labrador Retriever/Great Dane,Tan/Black
301,A683609,Rascal,2014-07-17 17:50:00,Return_to_owner,,Dog,Neutered Male,6 years,Dachshund Mix,Brown
302,A695710,Layla,2015-08-02 13:17:00,Transfer,Partner,Dog,Spayed Female,11 months,Boxer Mix,Brown Brindle/White
303,A713063,,2015-10-08 16:26:00,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White
304,A667520,,2013-11-23 16:00:00,Transfer,Partner,Dog,Neutered Male,4 years,Shih Tzu/Miniature Poodle,Apricot/White
306,A716488,,2015-11-23 00:00:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red
307,A667537,,2013-11-25 17:07:00,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Red Merle/Black
311,A684664,Leo,2014-08-10 17:25:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
312,A691531,,2014-11-07 17:15:00,Transfer,Partner,Dog,Intact Male,2 months,Australian Cattle Dog Mix,White/Brown
315,A703630,Sheldon,2015-06-30 07:01:00,Adoption,Foster,Dog,Neutered Male,4 years,German Shepherd Mix,Brown
317,A696247,Jillian,2015-11-22 13:47:00,Adoption,,Dog,Spayed Female,2 years,Pointer Mix,Chocolate/White
319,A678185,,2014-05-09 19:30:00,Transfer,Partner,Dog,Spayed Female,2 years,Miniature Poodle Mix,Black/Gray
320,A687055,Lizzie,2014-09-01 10:39:00,Return_to_owner,,Dog,Spayed Female,10 years,Collie Smooth/Chow Chow,Sable
323,A696819,Captain,2015-02-21 17:30:00,Adoption,,Dog,Neutered Male,6 months,Cocker Spaniel Mix,Sable
324,A671201,Pablito,2014-01-25 18:34:00,Return_to_owner,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tricolor
325,A715573,,2015-11-12 12:36:00,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Buff
327,A669510,Kimchi,2014-01-01 18:45:00,Adoption,,Dog,Spayed Female,1 year,Rottweiler/Labrador Retriever,Black/Tan
328,A697892,Bella,2015-03-16 17:38:00,Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/Black
329,A678958,Ares,2014-05-19 18:05:00,Adoption,,Dog,Neutered Male,2 months,Boxer Mix,Tricolor
331,A671079,,2014-01-25 18:09:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
334,A693999,,2014-12-23 14:58:00,Transfer,Partner,Dog,Spayed Female,4 years,Rat Terrier Mix,Black/White
335,A691614,Challino,2014-11-12 18:27:00,Adoption,,Dog,Neutered Male,4 months,German Shepherd/Siberian Husky,Red/White
337,A703781,Romeo,2015-05-30 15:30:00,Transfer,Partner,Dog,Intact Male,6 years,Dachshund,Blue Merle/White
338,A668803,Dumpling,2014-01-11 17:42:00,Adoption,Foster,Dog,Spayed Female,2 months,Border Collie/Labrador Retriever,Black/White
343,A677885,Lil' Mama,2014-05-12 14:05:00,Return_to_owner,,Dog,Intact Female,2 years,Pit Bull Mix,Fawn
344,A675622,,2014-04-04 15:30:00,Adoption,,Dog,Neutered Male,4 months,Collie Smooth/Labrador Retriever,Tricolor
349,A686319,Jack,2015-06-14 12:01:00,Adoption,,Dog,Neutered Male,5 years,Plott Hound/Rhod Ridgeback,Brown Brindle
350,A671251,Buffy,2014-01-23 14:06:00,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
353,A715812,,2015-11-15 18:01:00,Adoption,,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Tan/White
354,A681003,,2014-06-17 13:27:00,Transfer,Partner,Dog,Neutered Male,2 years,Pointer/Labrador Retriever,Black/White
355,A715346,Molina,2015-11-09 17:02:00,Adoption,,Dog,Spayed Female,10 months,Anatol Shepherd/Great Pyrenees,White
357,A679956,Simon,2014-06-08 16:49:00,Return_to_owner,,Dog,Neutered Male,1 year,Anatol Shepherd,Fawn/Black
359,A695950,Laurel,2015-02-13 14:49:00,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
360,A694278,Mya,2015-01-02 16:50:00,Transfer,Partner,Dog,Spayed Female,7 years,Great Dane,Black/White
363,A686918,Aimee,2014-09-02 14:51:00,Transfer,Partner,Dog,Intact Female,3 years,Australian Cattle Dog Mix,Tricolor
365,A711807,Lola,2015-10-23 18:07:00,Adoption,,Dog,Spayed Female,2 years,Chinese Sharpei/Australian Cattle Dog,Red Tick/White
366,A677157,Sadie,2014-04-22 16:02:00,Return_to_owner,,Dog,Intact Female,12 years,Labrador Retriever Mix,Yellow
367,A697921,Pi,2015-03-16 12:10:00,Adoption,,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black
368,A686691,,2014-08-29 16:56:00,Transfer,Partner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
370,A698117,,2015-03-06 09:54:00,Transfer,Partner,Dog,Unknown,6 days,Labrador Retriever Mix,White
371,A656110,Clover,2013-11-22 17:54:00,Return_to_owner,,Dog,Spayed Female,9 months,Rat Terrier Mix,Tricolor
373,A678099,Spartacus,2015-06-10 17:23:00,Euthanasia,Aggressive,Dog,Neutered Male,2 years,Akita/Pit Bull,Tan/White
